Grupo de Producto;Producto;Código Barras;Stock;Costo Neto Prom. Unitario;Precio Venta 
;AKARANTA TIOCOLCHICOSIDO 8MG X12CAPS LAB. ABBOTT;7800026008126;7;0;10000
;ALCOHOL 95- 250 ML ELITE;7800045001825;0;0;1500
;ALCOHOL DESNATURALIZADO 70- ELITE 500CC;10030189;39;0;2000
;ALCOHOL DESNATURALIZADO 70- X 1MLCC;7800045001788;48;0;3500
;ALCOHOL DESNATURALIZADO 95- 500CC CON GATILLO;10030707;0;0;2500
;ALCOHOL DESNATURALIZADO 95- ELITE 1000CC;7800045001849;0;0;3500
;ALCOHOL DESNATURALIZADO AL 95 X 500ML ELITE;7800045001832;38;0;2000
;ALCOHOL DESNATURALIZADO CON ITALATO DE ETILO AL 0.2 X60ML;7891537153979;0;0;500
;ALCOHOL GEL 70 X 340 ML ELITE;10030431;10;0;2500
;ALCOHOL GEL 70- X340ML;7801000275961;0;0;3000
;ALCOHOL GEL PARA MANOS ENJUAGUE X60ML SANTEPHARMA;7804647000002;0;0;1000
;ALCOHOL ISOPROPILICO IPA 70- X290ML;7801000000396;10;0;4000
;ALCOHOL SPRAY AL 70 PARA MANOS 100 ML. FAMILY SET;7805633022374;65;0;1000
;ALDROX ACIDO ALENDRONICO 70 MG. X10 COMP. LAB. PASTEUR;7800068010156;2;0;15000
;ALEJANDRIA 8G 1UNIDAD LAB. DROGERIA NUÑOA;7805357000009;0;0;600
;ALENYS FLUTICASONA FUROATO 27.5MCG 120DOSIS LAB. ETEX;7800030075008;13;0;18500
;ALERTEX MODAFINILO 100MG X30COMP LAB. SAVAL;7800060414082;0;0;20000
;ALERVIT FORTE x 60CAPS VITALAB;737186232986;0;0;5000
;ALERXO FEXOFENADINA CLORHIDRATO 120MG X30 COMP. LAB. DE CHILE;7800007805331;0;0;14000
;ALERXO FORTE FEXOFENADINA CLORHIDRATO 180MG 30COMP LAB. TEVA;7800007805324;0;0;19000
;ALERXO FORTE FEXOFENADINA CLORHIDRATO 180MG TEVA;ALERXO;0;0;17000
;ALEXIA - D FEXOFRENADINA CLORHIDRATO + PSEUDOEFEDRINA SULFATO 60MG + 120MG X10CAPS LAB. SAVAL;7800060117037;0;0;12000
;ALEXIA FEXOFENADINA 120MG X10COMP LAB. SAVAL;7800060112315;0;0;14000
;ALEXIA FEXOFENADINA 120MG X30COMP LS B;7800060112582;4;0;16000
;ALEXIA FORTE 180MG;7800060118782;0;0;16000
;ALEXIA FORTE FEXOFENADINA 180MG;7800060119321;0;0;25000
;ALFEXA 120MG COMP REC X30 -FEXOFENADINA CLORHIDRATO-;7804650885733;0;0;12500
;ALFEXA 180 FEXOFENADINA CLORHIDRATO 180MG X30COMP. ASCEND B;7804650884491;7;0;15000
;ALFLOREX BIFIDOBACTERIUM LONGUM 7.5G X30CAPS LAB. AXON;5392000067417;21;0;25000
;ALGAS CON OLIVOS COMPUESTO X30ML KNOP;2010341003620;0;0;7000
;ALGAS MARINAS CON OLIVOS MEDICAMENTO HOMEOPATICO 50 COMP. LAB. KNOP;2010121011050;0;0;4500
;ALGINATO AG 10UND 10x10 LAB. ROKYMEDS;6920230614058;2;0;3500
;ALGODON AMERICANO CORRIENTE 250G;7806545010237;0;0;2500
;ALGODON AMERICANO HIDROFILO;7806545010121;0;0;1200
;ALGODON HIDROFILO 250GRS AMERICANO;7806545010138;0;0;2500
;ALGODON HIDROFILO 25OGRS FAM SET;7805633013419;18;0;4000
;ALGODON HIDROFILO NAPA PR FAM SET 50GR;7805633013433;49;0;600
;ALGODON HIDROFILO ZIG ZAG 200GR ADSORBEX;7806545030198;0;0;2500
;ALGODON REDONDO MULTI USOS 80UND;48341000808;0;0;1500
;ALGOHOL GEL NEUTRO AL 70 250ML;10030448;0;0;2000
;ALGON HIDROFILO 200GRS;7805190000303;0;0;2500
;ALGON HIDROFILO EN ZIG ZAG;7806545010329;0;0;1200
;ALL OUT  PIOJOS 50 ML. CON PEINE;7800004003693;6;0;8500
;ALLEDRYL-D CAP X 20 -LORATADINA 5MGPSEUDOEFEDRINA120MG;7804918410356;11;0;8500
;ALLEGRA D FEXOFENADIAN CLORHIDRATO + PSEUDOEFEDRINA CLORHIDRATO 60MG + 120MG X20COMP LAB. SANOFI;7800056001463;0;0;27000
;ALLIUM CEPA T.M. MEDICAMENTO HOMEOPATICO X30ML LAB. KNOP;2010380011075;0;0;7000
;ALMIZCLE 1GR QUIMNATURA;9876795248658;0;0;500
;ALONDRA ALICATE;7805118052308;0;0;6000
;ALONDRA CORTA UÑAS 1 UND. LAB. ALONDRA;7805118052100;0;0;34000
;ALONDRA CORTAUÑAS PIES 1 UND. LAB. ALONDRA;7805118058720;0;0;2800
;ALONDRA ESPONJA PIEDRA POMEZ;7805118024602;0;0;1500
;ALOPEK MINOX 5%;7800059002511;1;0;26000
;ALOPEK MINOXIDIL 5% 100 GRS AEROSOL TOPICO LAB. PHARMA INVESTI;7703281002185;0;0;29000
;ALOPURINOL 300 MG . 20 COMP. LAB. SEVEN PHARMA;8902281613981;0;0;1000
;ALPRAZOLAM 0.50MG X30COMP LCH B;7800007368386;62;0;1000
;ALTA D 4 CAPS. 50000UI COLECALCIFEROL;7891317012007;0;0;23000
;ALTA ZINC ZINC 15MG X40COMP LAB. SAVAL;7800060122215;0;0;15000
;ALTA ZINC ZINC 5MG X30ML LAB. SAVAL;7800060122383;0;0;14000
;ALTA ZING 10MG;7800060122116;7;0;15000
;ALUMBRE ENTERO X 10 GR -CAJ X 25- QUIMNATURA;9980808884440;0;0;1000
;ALUMBRE POLVO;9778969688546;0;0;700
;ALWAY SULTF FLUJO ABUNDANTE X8;7590002012383;9;0;2000
;AMATO TOPIRAMATO 50MG X60COMP LAB. EUROFARMA;7891317148942;0;0;22000
;AMBIENTADOR AIR FRESHENER HOME SWEET HOME AROMA BEBE;7804947001693;0;0;2000
;AMBIENTADOR AIR FRESHENER HOME SWEET HOME TE VERDE X360ML;7804947002362;0;0;2000
;AMBILAN AMOXICILINA + ACIDO CLAVULANICO 800MG + 57MG X90ML LAB. DE CHILE;7800007782120;2;0;24000
;AMBROXOL CLORHIDRATO JARABE ADULTO 30MG5ML BP;8903831007601;0;0;1500
;AMERICANO ALGODON HIDROFILO 100 GRS LASTRADE HNOS;71603002142;0;0;1200
;AMERICANO ALGODON HIDROFILO 50 GRS LASTRADE HNOS;7806545010114;0;0;500
;AMMENS COL 120ML + 75ML;7804945049918;1;0;4500
;AMMENS COLONIA 120ML;75898157196267;6;0;3500
;AMMENS COLONIA 75ML C/ESTUCHE;7804945050198;5;0;2500
;AMOBIOTIC AMOXICILINA 1G X14COMP LAB. TEVA;7800007782397;0;0;13000
;AMOBIOTIC AMOXICILINA 1G X20 COMP. LAB. DE CHILE;7800007782472;33;0;24000
;AMOVAL AMOXICILINA 250MG X100 ML LAB. SAVAL;7800060111264;4;0;11500
;AMOVAL AMOXICILINA 500MG X100ML LAB. SAVAL;7800060111349;8;0;20000
;AMOVAL AMOXICILINA 500MG X21COMP LAB. SAVAL;7800060017245;0;0;16000
;AMOVAL DUO 1000MG/ 5ML;7800060156012;1;0;21000
;AMOVAL DUO AMOXICILINA 1000MG X90ML LAB SAVAL;7800060119918;2;0;19000
;AMOVAL DUO SUS.1000.50ML;7800060120099;1;0;14000
;AMOXI 875+ ACIDO CLAVULANICO 125 20 COMP;7804620833818;50;0;6000
;AMOXICILINA + ACIDO CLAVULANICO 875 - 125 14 COMP. LAB. OPKOBE;7804620833535;50;0;5000
;AMOXICILINA ACIDO CLAVULANICO 500 MG. - 125 MG. 20 COMP. LAB. ASCEND;7804650885306;0;0;5500
;AMOXICILINA ACIDO CLAVULANICO 500 MG. - 125 MG. 20 COMP. LAB. ASCEND;75613043935614;0;0;5500
;AMOXICILINA POLVO 500MG/5ML X60ML;7804640560640;0;0;2000
;ANACIN CLASICO ACIDO ACETILSACILILICO325MGCAFEINA15MG 32 COMPRIOMIDOS;7804900000961;0;0;3500
;ANACIN CLASICO ACIDO ACETISALICLICO + CAFEINA 325MG + 15MG X8COMP LAB. GSK;7804900000954;5;0;1500
;ANACIN MAX ACIDO ACETILSACILICICO 300MGPARACETAMOL200MGCAFEINA45MG;7804900000930;19;0;1500
;ANACIN MAX ACIDO ACETILSALICILICO + PARACETAMOL + CAFEINA 300MG + 200MG + 45MG X32COMP LAB. GSK;7804900000947;0;0;4000
;ANAGEN CASSARA MINOXIDIL LOCION CAPILAR 5% X 100ML;7795373010062;6;0;2300
;ANALIA ACETONA USO EXTERNO X60CC DISGAL;7804603700410;0;0;500
;ANALIA ALCOHOL 70- X60ML MAQUIPACK;7999788887572;0;0;500
;ANALIA QUITA ESMALTE OLEOSO ROSA MOSQUETA 40CC ALIANZA LTDA;7804603700397;0;0;500
;ANALIA VASELINA LIQUIDA 125ML DISGAL;10008010;0;0;1500
;ANC ACEITE PEPA CALABAZA X 30 CAPS;7805357003901;12;0;5500
;ANC FITOFEM X60 CAPS BLISTER;7805357000863;2;0;8500
;ANC ZINC+VIT C+MAG X60 CAPS;7805357001648;23;0;4000
;ANILINA AZUL MARINO. MONTBLAC;7805327000039;0;0;2200
;ANILINA COLOR AMARILLO ACOLOR;7798112050015;0;0;2000
;ANILINA GRIS PERLA. MONTBLANC;7805327000275;0;0;2000
;ANILINA MONTBLANC FIJADOR;7805327001005;0;0;2000
;ANILINA MONTBLANC VERDE;7805327000220;0;0;2000
;ANILINA MONTBLANC VICUNA;7805327000183;0;0;2000
;ANILINA NEGRO MONTBLAC;7805327000015;14;0;2000
;ANILINA TURQUESA MONTBLANC;7805327000312;0;0;2000
;ANILINAS AZUL FRANCIA. MONTBLAC;7805327000046;0;0;2000
;ANILINAS TINTES AMARILLO 1UNI MONTBLANC;7805327000251;0;0;2000
;ANILINAS TINTES BURDEOS MONT 1UNI;7805327000091;0;0;2000
;ANILINAS TINTES CAFE MONT 1UNI;7805327000190;0;0;2000
;ANILINAS TINTES DECOLOR 1UNI MONTBLANC;7805327000008;0;0;2000
;ANILINAS TINTES FUEGO 1UNI MONTBLANC;7805327000121;0;0;2000
;ANIS ESTRELLA 4G;7805357001914;0;0;1000
;ANOVULATORIOS LEVONORGESTREL + ETNILESTRADIOL 0.15MG + 0.03MG X21COMP LAB. ANDROMACO;7800018188317;0;0;2000
;ANSIEDAD FLORES DE BACH 30ML;901000100069;0;0;5000
;ANTABUS DISULFIRAMO 500 MG. 24 COMP. LAB. GARDEN;7800023226165;0;0;32000
;ANTALIN AMITRIPTILINA CLORHIDRATO + CLORDIAZEPOXIDO. 12.5 MG. + 5 MG. 30 COMP. LAB. SAVAL;7800060005556;0;0;17000
;ANTEOJOS OPTICOS +1.50;7804669530365;0;0;4000
;ANTEOJOS OPTICOS +2.0;7805633015116;0;0;4500
;ANTI PIGMENTO Y MANCHAS EUCERIN;4005800365959;2;0;38000
;ANTIACIDO ENO LIMON;78032460;0;0;1000
;ANTIAX ANTIFLATUL 6COMP SAV 480100MG;7800060130647;127;0;1500
;ANTIGENO TES KIT SINGCLEAN UND;6936020115070;0;0;6500
;ANTIMETIL EXTRACTO SECO DE RIZOMA DE JENGIBRE 50MG X30COMP LAB. LCH;7800007808387;2;0;10000
;ANTIMETIL EXTRACTO SECO DE RIZOMA DE JENGIBRE 50MG X6COMP. LABORATORIO DE CHILE;7800007803306;0;0;3000
;ANTITRANSPIRANTE AEROSOL NIVEA EFFECT X150ML;4005808231065;6;0;2500
;ANTITRANSPIRANTE ALTA EFICACIA 20ML PERSIREX;5701943100387;6;0;11500
;ANTITRANSPIRANTE DOVE GO FRESH PEPINO-TE 150ML;7791293048475;0;0;2500
;ANTITRANSPIRANTE DOVE GO FRESH PERA ALOE VERA CON VIT E;7791293048505;0;0;3000
;ANTITRANSPIRANTE DOVE INVISIBLE DRY ANTI MANCHAS X50ML;78924529;0;0;2500
;ANTITRANSPIRANTE DOVE MEN CARE CUIDADO TOTAL X50G;75031060;0;0;3000
;ANTITRANSPIRANTE DOVE MEN CARE ROLL-ON INVISIBLE DRY X50ML;78933354;0;0;2500
;ANTITRANSPIRANTE DOVE MEN+CARE PROTECCION TOTAL 45 G.;75076696;0;0;3000
;ANTITRANSPIRANTE EN CREMA EXTRA DRY REXONA;79400301161;0;0;6600
;ANTITRANSPIRANTE ETIQUET ACTIVE PROTECTION 60G;7794640170164;0;0;2000
;ANTITRANSPIRANTE ETIQUET MEN X 60G ROLL ON;7794490630511;0;0;2500
;ANTITRANSPIRANTE ETIQUET WOMEN DELICIOUS X60G;7794640172625;0;0;2000
;ANTITRANSPIRANTE ETIQUET WOMEN FLORAL SIN ALCOHOL X60G;7794490630443;0;0;3000
;ANTITRANSPIRANTE GEL GILLETTE 5 PROTECT COOL WAVE;7702018913664;0;0;4500
;ANTITRANSPIRANTE GILLETTE HYDRA GEL + ALOE VERA 82G;7500435140591;13;0;4500
;ANTITRANSPIRANTE HIDRO FUGAL CLASSIC;4005800344961;8;0;10000
;ANTITRANSPIRANTE HIDROFUGAL CLASSIC NEUTRO SPRAY 150ML;4005800344985;0;0;9000
;ANTITRANSPIRANTE KIDS PREFACE SIN ALCOHOL X75G;7804969171534;0;0;4500
;ANTITRANSPIRANTE NIVEA MEN BLACK WHITE 50G;4006000087030;0;0;2500
;ANTITRANSPIRANTE NIVEA PEARLBEAUTY X150ML;4005900937520;0;0;2500
;ANTITRANSPIRANTE NIVEA SILVER MEN X54G;4005900919540;0;0;2500
;ANTITRANSPIRANTE NIVEA STRESS PROTECT AEROSOL;4005808715688;0;0;2500
;ANTITRANSPIRANTE OBAO DERMO EFICACIA 150ML;7509552876345;0;0;3000
;ANTITRANSPIRANTE OBAO DERMO-EFICACIA HIALURONICO;7509552876314;0;0;3000
;ANTITRANSPIRANTE OBAO DERMO-EFICACIA VITAMINA C ACLARANTE X150ML GARNIER;7509552876321;0;0;3000
;ANTITRANSPIRANTE REXONA CLINICAL AEROSOL X150ML;7506306214989;0;0;5000
;ANTITRANSPIRANTE REXONA CLINICAL CLEAN X150ML;7506306214972;0;0;5000
;ANTITRANSPIRANTE REXONA CLINICAL EN CREMA X48G;79400476692;0;0;5000
;ANTITRANSPIRANTE REXONA INVISIBLE 72H. SPRAY AEROSOL;7791293049526;19;0;2500
;ANTITRASPARENTE ROLL ON. TONO NATURAL. NIVEA;4005808630646;0;0;2500
;ANTITRASPIRANTE ROLL ON TONO UNIFORME CALENDULA CON VIT E. DOVE;78928503;0;0;2500
;ANTITRASPIRANTE SPRAY SECO BLACK 152 ML. AXE BLACK;7791293043746;0;0;2000
;ANTONIO BANDERAS BLUE SEDUCTION 50 ML;8411061081570;1;0;19000
;ANULETTE CD LEVONORGESTREL 0.15 MG ETINELESTRADIOL 0.03 MG. 28 COMP. LAB. ANDROMACO;7800020187506;90;0;5000
;ANXIUM  HYPERICUM PERFORATUM  300 MG  60 CAPS.  LAB. KNOP;7803504000865;0;0;14280
;ANZAP 10 OLANZAPINA 10MG X30COMP ASCEND B;7804650886792;0;0;11500
;ANZAP OLANZAPINA 10MG X30COMP LAB. ASCEND;7804650880219;0;0;12000
;APIS COMPUESTO X30ML KNOP;2000341111944;0;0;6500
;APIS D6 COMP. KNOP;2000110411947;0;0;4000
;APOQUE OCLACITINIB 16MG 20 COMPR.;5414736044217;0;0;49000
;APOQUE OCLACITINIB 3.6MG;5414736054643;0;0;36000
;APOSITO ADHESIVO TRANSPARENTE 6X7CM 1UND CRANBERRY CJ C;7806130008182;0;0;500
;APOSITO ALGINATO+PLATA 5X5 CM X1UND CRANBERRY CJ XX;44A6AEAANFJ3BC;0;0;1000
;APOSITO CUTIMED ALGINATE 10X10;35664033101;6;0;0
;APOSITO DE ESPUMA NO ADHESIVO 10CMX10CM X1UND FARMACTIVE CJ X;8000246006059;0;0;550
;APOSITO DE GASA TRANSPARENTE 5X7;6920230614034;0;0;300
;APOSITO DE GASA+ALGODON 13X23;7806130015319;0;0;500
;APOSITO GASA NATURAL 10X20 1UND ESTERIL;APOSITO;0;0;3500
;APOSITO GASA NATURAL10CM X 20CM;APNG;0;0;500
;APOSITO GASA NT + ALGODON EST 10X20 BOLSA X10;7806130016552;0;0;350
;APOSITO GASA NT + ALGODON EST 20X25;44A6ASJANFE2BA;0;0;500
;APOSITO TRANSPARENTE 15X20 CM;5341343153;0;0;2380
;APOSITO TRANSPARENTE CON GAZA 8X15 CM;4415341343;0;0;1000
;APOSITOS PLENITUD LEVE 20UND;7794626011252;34;0;5500
;APOSITOS TRANSPARENTES FAMILY SET 3 UNIDADES 10X12CM.;7805633008101;10;0;2000
;AQUAFERSH LITTLE TEETH CREM DEN GSK 63G;7794640171161;0;0;2000
;AQUAFRESH CREMA DENTAL INTENSE WHITE 2 X 96 GR;7804900000596;0;0;2000
;AQUAFRESH LITTLE TEETH CEP DEN GSK 1UNI CON TAPA DE VIAJE;7794640171338;0;0;2000
;AQUAFRESH PACK TRIPLE PROTEC. PASTA DENTAL SABOR MENTA X2 316G GSK;7804900000688;0;0;4500
;AQUAFRESH TRIPLE PROTECTION X 158G SABOR MENTA;7804900000541;0;0;2000
;AQUAFRESH WHITENING CREM DEN GSK 9675G;7794640172311;0;0;1500
;AQUAPHOR EUCERIN REPARADOR LABIAL X 10ML;4005800268731;13;0;10000
;AQUAWIPES 80UND BUBU;7805633026846;27;0;2000
;ARDO AMARYLL BOMBA EXTRACION MANUAL X1UND;7640109053274;0;0;22000
;ARENARIA COMPUESTA GOTAS ORALES X30ML KNOP;2000341103123;0;0;4500
;ARIPIPARAZOL 10 MG. 30 COMP. LAB. DE CHILE;7800007810083;0;0;5500
;ARIPIPRAZOL 10MG X30COMP ASCEND B;7804650885276;0;0;15000
;ARIPIPRAZOL 5 MG X 30 COMPRIMIDOS LAB CHILE;7800007810076;0;0;6500
;ARIPIPRAZOL 5MG;7804681740230;0;0;5000
;ARIVITAE 5MG ARIPIPRAZOL X28COMP GALENICUM B;8437020503440;0;0;9500
;ARIVITAE ARIPIPRAZOL 10MG;7804653720390;0;0;15000
;ARIVITAE ARIPIPRAZOL 15MG X28COMP LAB. GALENICUM;7804653720406;0;0;12000
;ARIZOL 10MG ARIPIPRAZOL 10MG 28 COMPRIMIDOS;7804656600507;0;0;19000
;ARIZOL 5MG ARIPIPRAZOL 28 COMPRIMIDOS;7804656600491;1;0;17000
;ARLETTE 28 0075MG DESOGESTREL 28 COMPR.;7800026015162;0;0;14000
;ARMONYL COMPUESTO GOTAS 30ML;7800004227426;0;0;2500
;ARMONYL DIA 20 COMP.VALERIANA+PASSIFLORA+CRATAEGUS;7800004509225;0;0;2000
;ARMONYL NOCHE MANZANILLA GTS 30ML;7800004506149;0;0;2500
;ARMONYL NOCHE VALERIANA 200 MG+PASSIFLORA 50 MG+MANZANILLA 50 MG. 20 COMP. LAB.MAVER;7800004000258;0;0;2500
;ARNICA D6 MEDICAMENTO HOMEOPATICO 90 COMP. LAB. KNOP;2000110412197;0;0;2500
;ARNICA-HAMAMELIS COMPUESTO GOTAS ORALES X30ML KNOP;2000341103130;0;0;6000
;ARNIKADERM CONTUSIONES - HEMATOMAS - USO TOPICO X50G KNOP;7803504005808;46;0;5000
;ARTESOL CILOSTAZOL 100MG X30COMP LAB. ABBOTT;7800026015698;0;0;25000
;ARTHOZEEL- HEEL 5 AMPO;7809561400662;3;0;20000
;ARTHROZEEL 50 COMPRIMIDOS SUBLINGUALES;7809561400518;0;0;18000
;ARTRILAB LEFLUNOMIDA 20MG X30COMP LAB. ITF-LABOMED;7809591402742;0;0;67000
;ARTROPLEX REUMATISMO X60 COMP KNOP;7803504002319;0;0;10000
;ARZIMOL ACIDO FUSIDICO 2 15G RAFFO;7795347980483;0;0;12000
;ASEPXIA AZUFRE ANTI-SEBO JABON X 100 GR;650240007828;5;0;5500
;ASEPXIA CARBON DETOX JAB 100G ASEP;650240035401;10;0;4000
;ASEPXIA EXFOLIANTE JAB BARRA ASE 100G;650240004643;9;0;4000
;ASEPXIA JABON BICARBONATO X100GRS;650240036965;5;0;4500
