Producto;Codigo;Stock;Costo;Precio;Categoria
ALLIUM CEPA T.M. MEDICAMENTO HOMEOPATICO X30ML LAB. KNOP;2010380011075;0;0;7000;SIN CLASIFICAR
ALMIZCLE 1GR QUIMNATURA;9876795248658;0;0;500;SIN CLASIFICAR
ALONDRA ALICATE;7805118052308;0;0;6000;SIN CLASIFICAR
ALONDRA CORTA UÑAS 1 UND. LAB. ALONDRA;7805118052100;0;0;34000;SIN CLASIFICAR
ALONDRA CORTAUÑAS PIES 1 UND. LAB. ALONDRA;7805118058720;0;0;2800;SIN CLASIFICAR
ALONDRA ESPONJA PIEDRA POMEZ;7805118024602;0;0;1500;Dispositivos y accesorios médicos
ALOPEK MINOX 5%;7800059002511;1;0;26000;SIN CLASIFICAR
ALOPEK MINOXIDIL 5% 100 GRS AEROSOL TOPICO LAB. PHARMA INVESTI;7703281002185;0;0;29000;Medicamentos y Productos Farmacéuticos
ALOPURINOL 300 MG . 20 COMP. LAB. SEVEN PHARMA;8902281613981;0;0;1000;Fármacos antigota
ALPRAZOLAM 0.50MG X30COMP LCH B;7800007368386;62;0;1000;Ansiolíticos, tranquiliz., antimaníacos
ALTA D 4 CAPS. 50000UI COLECALCIFEROL;7891317012007;0;0;23000;SIN CLASIFICAR
ALTA ZINC ZINC 15MG X40COMP LAB. SAVAL;7800060122215;0;0;15000;Vitaminas, minerales y oligoelementos
ALTA ZINC ZINC 5MG X30ML LAB. SAVAL;7800060122383;0;0;14000;Vitaminas, minerales y oligoelementos
ALTA ZING 10MG;7800060122116;7;0;15000;SIN CLASIFICAR
ALUMBRE ENTERO X 10 GR -CAJ X 25- QUIMNATURA;9980808884440;0;0;1000;SIN CLASIFICAR
ALUMBRE POLVO;9778969688546;0;0;700;Otros equipos electrom. no especificados
ALWAY SULTF FLUJO ABUNDANTE X8;7590002012383;9;0;2000;SIN CLASIFICAR
AMATO TOPIRAMATO 50MG X60COMP LAB. EUROFARMA;7891317148942;0;0;22000;Anticonvulsivantes, antiepilépticos
AMBIENTADOR AIR FRESHENER HOME SWEET HOME AROMA BEBE;7804947001693;0;0;2000;SIN CLASIFICAR
AMBIENTADOR AIR FRESHENER HOME SWEET HOME TE VERDE X360ML;7804947002362;0;0;2000;Medicamentos y Productos Farmacéuticos
AMBILAN AMOXICILINA + ACIDO CLAVULANICO 800MG + 57MG X90ML LAB. DE CHILE;7800007782120;2;0;24000;Antibióticos
AMBROXOL CLORHIDRATO JARABE ADULTO 30MG5ML BP;8903831007601;0;0;1500;Productos para tos, mucolíticos
AMERICANO ALGODON HIDROFILO 100 GRS LASTRADE HNOS;71603002142;0;0;1200;Algodón y relacionados
AMERICANO ALGODON HIDROFILO 50 GRS LASTRADE HNOS;7806545010114;0;0;500;Algodón y relacionados
AMMENS COL 120ML + 75ML;7804945049918;1;0;4500;SIN CLASIFICAR
AMMENS COLONIA 120ML;75898157196267;6;0;3500;SIN CLASIFICAR
AMMENS COLONIA 75ML C/ESTUCHE;7804945050198;5;0;2500;SIN CLASIFICAR
AMOBIOTIC AMOXICILINA 1G X14COMP LAB. TEVA;7800007782397;0;0;13000;Antibióticos
AMOBIOTIC AMOXICILINA 1G X20 COMP. LAB. DE CHILE;7800007782472;33;0;24000;Antibióticos
AMOVAL AMOXICILINA 250MG X100 ML LAB. SAVAL;7800060111264;4;0;11500;Antibióticos
AMOVAL AMOXICILINA 500MG X100ML LAB. SAVAL;7800060111349;8;0;20000;Antibióticos
AMOVAL AMOXICILINA 500MG X21COMP LAB. SAVAL;7800060017245;0;0;16000;Antibióticos
AMOVAL DUO 1000MG/ 5ML;7800060156012;1;0;21000;SIN CLASIFICAR
AMOVAL DUO AMOXICILINA 1000MG X90ML LAB SAVAL;7800060119918;2;0;19000;Antibióticos
AMOVAL DUO SUS.1000.50ML;7800060120099;1;0;14000;SIN CLASIFICAR
AMOXI 875+ ACIDO CLAVULANICO 125 20 COMP;7804620833818;50;0;6000;Vitaminas, minerales y oligoelementos
AMOXICILINA + ACIDO CLAVULANICO 875 - 125 14 COMP. LAB. OPKOBE;7804620833535;50;0;5000;Antibióticos
AMOXICILINA ACIDO CLAVULANICO 500 MG. - 125 MG. 20 COMP. LAB. ASCEND;7804650885306;0;0;5500;Antibióticos
AMOXICILINA ACIDO CLAVULANICO 500 MG. - 125 MG. 20 COMP. LAB. ASCEND;75613043935614;0;0;5500;Antibióticos
AMOXICILINA POLVO 500MG/5ML X60ML;7804640560640;0;0;2000;Antibióticos
ANACIN CLASICO ACIDO ACETILSACILILICO325MGCAFEINA15MG 32 COMPRIOMIDOS;7804900000961;0;0;3500;Vitaminas, minerales y oligoelementos
ANACIN CLASICO ACIDO ACETISALICLICO + CAFEINA 325MG + 15MG X8COMP LAB. GSK;7804900000954;5;0;1500;Vitaminas, minerales y oligoelementos
ANACIN MAX ACIDO ACETILSACILICICO 300MGPARACETAMOL200MGCAFEINA45MG;7804900000930;19;0;1500;Vitaminas, minerales y oligoelementos
ANACIN MAX ACIDO ACETILSALICILICO + PARACETAMOL + CAFEINA 300MG + 200MG + 45MG X32COMP LAB. GSK;7804900000947;0;0;4000;Vitaminas, minerales y oligoelementos
ANAGEN CASSARA MINOXIDIL LOCION CAPILAR 5% X 100ML;7795373010062;6;0;2300;Medicamentos y Productos Farmacéuticos
ANALIA ACETONA USO EXTERNO X60CC DISGAL;7804603700410;0;0;500;SIN CLASIFICAR
ANALIA ALCOHOL 70- X60ML MAQUIPACK;7999788887572;0;0;500;Desinfectantes y esterilización en frío
ANALIA QUITA ESMALTE OLEOSO ROSA MOSQUETA 40CC ALIANZA LTDA;7804603700397;0;0;500;SIN CLASIFICAR
ANALIA VASELINA LIQUIDA 125ML DISGAL;10008010;0;0;1500;Dermatológicos, fanereos
ANC ACEITE PEPA CALABAZA X 30 CAPS;7805357003901;12;0;5500;Laxantes
ANC FITOFEM X60 CAPS BLISTER;7805357000863;2;0;8500;SIN CLASIFICAR
ANC ZINC+VIT C+MAG X60 CAPS;7805357001648;23;0;4000;SIN CLASIFICAR
ANILINA AZUL MARINO. MONTBLAC;7805327000039;0;0;2200;SIN CLASIFICAR
ANILINA COLOR AMARILLO ACOLOR;7798112050015;0;0;2000;SIN CLASIFICAR
ANILINA GRIS PERLA. MONTBLANC;7805327000275;0;0;2000;SIN CLASIFICAR
ANILINA MONTBLANC FIJADOR;7805327001005;0;0;2000;Dispositivos y accesorios médicos
ANILINA MONTBLANC VERDE;7805327000220;0;0;2000;Medicamentos y Productos Farmacéuticos
ANILINA MONTBLANC VICUNA;7805327000183;0;0;2000;SIN CLASIFICAR
ANILINA NEGRO MONTBLAC;7805327000015;14;0;2000;SIN CLASIFICAR
ANILINA TURQUESA MONTBLANC;7805327000312;0;0;2000;SIN CLASIFICAR
ANILINAS AZUL FRANCIA. MONTBLAC;7805327000046;0;0;2000;SIN CLASIFICAR
ANILINAS TINTES AMARILLO 1UNI MONTBLANC;7805327000251;0;0;2000;SIN CLASIFICAR
ANILINAS TINTES BURDEOS MONT 1UNI;7805327000091;0;0;2000;SIN CLASIFICAR
ANILINAS TINTES CAFE MONT 1UNI;7805327000190;0;0;2000;SIN CLASIFICAR
ANILINAS TINTES DECOLOR 1UNI MONTBLANC;7805327000008;0;0;2000;SIN CLASIFICAR
ANILINAS TINTES FUEGO 1UNI MONTBLANC;7805327000121;0;0;2000;SIN CLASIFICAR
ANIS ESTRELLA 4G;7805357001914;0;0;1000;SIN CLASIFICAR
ANOVULATORIOS LEVONORGESTREL + ETNILESTRADIOL 0.15MG + 0.03MG X21COMP LAB. ANDROMACO;7800018188317;0;0;2000;Estrógenos, progestágenos y anticoncep.
ANSIEDAD FLORES DE BACH 30ML;901000100069;0;0;5000;SIN CLASIFICAR
ANTABUS DISULFIRAMO 500 MG. 24 COMP. LAB. GARDEN;7800023226165;0;0;32000;SIN CLASIFICAR
ANTALIN AMITRIPTILINA CLORHIDRATO + CLORDIAZEPOXIDO. 12.5 MG. + 5 MG. 30 COMP. LAB. SAVAL;7800060005556;0;0;17000;Antidepresivos
ANTEOJOS OPTICOS +1.50;7804669530365;0;0;4000;SIN CLASIFICAR
ANTEOJOS OPTICOS +2.0;7805633015116;0;0;4500;SIN CLASIFICAR
ANTI PIGMENTO Y MANCHAS EUCERIN;4005800365959;2;0;38000;SIN CLASIFICAR
ANTIACIDO ENO LIMON;78032460;0;0;1000;SIN CLASIFICAR
ANTIAX ANTIFLATUL 6COMP SAV 480100MG;7800060130647;127;0;1500;SIN CLASIFICAR
ANTIGENO TES KIT SINGCLEAN UND;6936020115070;0;0;6500;SIN CLASIFICAR
ANTIMETIL EXTRACTO SECO DE RIZOMA DE JENGIBRE 50MG X30COMP LAB. LCH;7800007808387;2;0;10000;SIN CLASIFICAR
ANTIMETIL EXTRACTO SECO DE RIZOMA DE JENGIBRE 50MG X6COMP. LABORATORIO DE CHILE;7800007803306;0;0;3000;SIN CLASIFICAR
ANTITRANSPIRANTE AEROSOL NIVEA EFFECT X150ML;4005808231065;6;0;2500;SIN CLASIFICAR
ANTITRANSPIRANTE ALTA EFICACIA 20ML PERSIREX;5701943100387;6;0;11500;SIN CLASIFICAR
ANTITRANSPIRANTE DOVE GO FRESH PEPINO-TE 150ML;7791293048475;0;0;2500;SIN CLASIFICAR
ANTITRANSPIRANTE DOVE GO FRESH PERA ALOE VERA CON VIT E;7791293048505;0;0;3000;Agujas inyección, aspirac. y accesorios
ANTITRANSPIRANTE DOVE INVISIBLE DRY ANTI MANCHAS X50ML;78924529;0;0;2500;SIN CLASIFICAR
ANTITRANSPIRANTE DOVE MEN CARE CUIDADO TOTAL X50G;75031060;0;0;3000;SIN CLASIFICAR
ANTITRANSPIRANTE DOVE MEN CARE ROLL-ON INVISIBLE DRY X50ML;78933354;0;0;2500;SIN CLASIFICAR
ANTITRANSPIRANTE DOVE MEN+CARE PROTECCION TOTAL 45 G.;75076696;0;0;3000;SIN CLASIFICAR
ANTITRANSPIRANTE EN CREMA EXTRA DRY REXONA;79400301161;0;0;6600;Fórmulas especificados por Minsal
ANTITRANSPIRANTE ETIQUET ACTIVE PROTECTION 60G;7794640170164;0;0;2000;SIN CLASIFICAR
ANTITRANSPIRANTE ETIQUET MEN X 60G ROLL ON;7794490630511;0;0;2500;SIN CLASIFICAR
ANTITRANSPIRANTE ETIQUET WOMEN DELICIOUS X60G;7794640172625;0;0;2000;SIN CLASIFICAR
ANTITRANSPIRANTE ETIQUET WOMEN FLORAL SIN ALCOHOL X60G;7794490630443;0;0;3000;Desinfectantes y esterilización en frío
ANTITRANSPIRANTE GEL GILLETTE 5 PROTECT COOL WAVE;7702018913664;0;0;4500;SIN CLASIFICAR
ANTITRANSPIRANTE GILLETTE HYDRA GEL + ALOE VERA 82G;7500435140591;13;0;4500;Medicamentos y Productos Farmacéuticos
ANTITRANSPIRANTE HIDRO FUGAL CLASSIC;4005800344961;8;0;10000;SIN CLASIFICAR
ANTITRANSPIRANTE HIDROFUGAL CLASSIC NEUTRO SPRAY 150ML;4005800344985;0;0;9000;SIN CLASIFICAR
ANTITRANSPIRANTE KIDS PREFACE SIN ALCOHOL X75G;7804969171534;0;0;4500;Desinfectantes y esterilización en frío
ANTITRANSPIRANTE NIVEA MEN BLACK WHITE 50G;4006000087030;0;0;2500;SIN CLASIFICAR
ANTITRANSPIRANTE NIVEA PEARLBEAUTY X150ML;4005900937520;0;0;2500;SIN CLASIFICAR
ANTITRANSPIRANTE NIVEA SILVER MEN X54G;4005900919540;0;0;2500;SIN CLASIFICAR
ANTITRANSPIRANTE NIVEA STRESS PROTECT AEROSOL;4005808715688;0;0;2500;SIN CLASIFICAR
ANTITRANSPIRANTE OBAO DERMO EFICACIA 150ML;7509552876345;0;0;3000;SIN CLASIFICAR
ANTITRANSPIRANTE OBAO DERMO-EFICACIA HIALURONICO;7509552876314;0;0;3000;SIN CLASIFICAR
ANTITRANSPIRANTE OBAO DERMO-EFICACIA VITAMINA C ACLARANTE X150ML GARNIER;7509552876321;0;0;3000;Vitaminas, minerales y oligoelementos
ANTITRANSPIRANTE REXONA CLINICAL AEROSOL X150ML;7506306214989;0;0;5000;SIN CLASIFICAR
ANTITRANSPIRANTE REXONA CLINICAL CLEAN X150ML;7506306214972;0;0;5000;SIN CLASIFICAR
ANTITRANSPIRANTE REXONA CLINICAL EN CREMA X48G;79400476692;0;0;5000;Fórmulas especificados por Minsal
ANTITRANSPIRANTE REXONA INVISIBLE 72H. SPRAY AEROSOL;7791293049526;19;0;2500;SIN CLASIFICAR
ANTITRASPARENTE ROLL ON. TONO NATURAL. NIVEA;4005808630646;0;0;2500;SIN CLASIFICAR
ANTITRASPIRANTE ROLL ON TONO UNIFORME CALENDULA CON VIT E. DOVE;78928503;0;0;2500;SIN CLASIFICAR
ANTITRASPIRANTE SPRAY SECO BLACK 152 ML. AXE BLACK;7791293043746;0;0;2000;SIN CLASIFICAR
ANTONIO BANDERAS BLUE SEDUCTION 50 ML;8411061081570;1;0;19000;SIN CLASIFICAR
