Código genérico,Nombre producto genérico,Descripción producto genérico,Tipo producto,Código ONU,Clasificación ONU,Clasificación interna,Estado Código genérico,Canasta Intermediación,Canasta Esencial de Medicamentos,Fecha inicio abastecimiento,Estado producto Intermediación,Motivo eliminación Intermediación,Canasta Programa Ministerial,Detalle Programas Ministeriales,Canasta Farmacia Privada,Prioridad
100000010,ACETAZOLAMIDA 250 MG CM/CM REC,ACETAZOLAMIDA 250 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.,Fármacos,51191515,Hidroclorotiazida,Diuréticos,Activo,Intermediación,1,2/6/2010,OK,,,,Farmacias Privadas,si
100000011,ACICLOVIR 200MG/5ML SUS OR FRA 100-125ML,ACICLOVIR 200 MG/5 ML SUSPENSION ORAL FRASCO 100 A 125 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO,Fármacos,51102301,Aciclovir,Antivirales,Inactivo,,0,,,,,,,
100000012,ACICLOVIR 200 MG CM/CP,ACICLOVIR 200 MG COMPRIMIDO CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO,Fármacos,51102301,Aciclovir,Antivirales,Inactivo,,0,,,,,,,
100000013,ACICLOVIR 400 MG CM/CM REC,ACICLOVIR 400 MG COMPRIMIDO  O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.,Fármacos,51102301,Aciclovir,Antivirales,Activo,Intermediación,1,2/6/2010,OK,,,,Farmacias Privadas,si
100000014,ACICLOVIR 800 MG CM/CM REC,ACICLOVIR 800 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO. ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO.COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO..,Fármacos,51102301,Aciclovir,Antivirales,Activo,Intermediación,1,2/6/2010,OK,,,,Farmacias Privadas,si
100000015,ACICLOVIR 5% CREMA TU/PM 5 A 30 G,ACICLOVIR  5% CREMA TUBO O POMO 5 A 30 G. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO,Fármacos,51102301,Aciclovir,Antivirales,Inactivo,,0,,,,,,,
100000016,ACICLOVIR 250 MG P/SOL.INYECTABLE AM/FAM,ACICLOVIR 250 MG POLVO O POLVO LIOFILIZADO PARA SOLUCION INYECTABLE O SOLUCION INYECTABLE PARA ADMINISTRACIÓN INTRAVENOSA FRASCO AMPOLLA O AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA O AMPOLLA.,Fármacos,51102301,Aciclovir,Antivirales,Activo,Intermediación,1,2/6/2010,OK,,,,,si
100000017,A.A SALICILIC 500MG CM/CM REC/CP,ACIDO ACETIL SALICILICO 500 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO O CAPSULA ENVASADO EN BLISTER.  ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO O CAPSULA.,Fármacos,51142002,Ácido acetilsalicíli,Analgésico Antipirético,Inactivo,,0,,,,,,,
100000018,ACIDO ASCORBICO 100 MG/1ML AMPOLLA,ACIDO ASCORBICO 100 MG/1 ML AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.,Fármacos,51191905,Suplementos vitamíni,"Vitaminas, minerales y oligoelementos",Inactivo,,0,,,,,,,
100000019,ACIDO ASCORBICO 100 MG CM/CM MASTICABLE,ACIDO ASCORBICO 100 MG COMPRIMIDO O COMPRIMIDO MASTICABLE ENVASADO EN BLISTER. DEBE CONTAR CON REGISTRO SANITARIO ISP. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO,Fármacos,51191905,Suplementos vitamíni,"Vitaminas, minerales y oligoelementos",Inactivo,,0,,,,,,,
100000020,ACIDO ASCORBICO 1G CMEFERV/MAST/CPBLANDA,ACIDO ASCORBICO 1 G CAPSULAS BLANDAS O COMPRIMIDO EFERVESCENTE O COMPRIMIDO MASTICABLE ENVASADO EN BLISTER O EN TUBO. DEBE CONTAR CON REGISTRO SANITARIO ISP.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.,Fármacos,51191905,Suplementos vitamíni,"Vitaminas, minerales y oligoelementos",Inactivo,,0,,,,,,,
100000021,ACIDO FOLICO 1 MG CM/CM REC,ACIDO FOLICO 1 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.,Fármacos,51131501,Fumarato ferroso,Medicamentos antianémicos,Activo,Intermediación,1,1/9/2024,OK,,,,Farmacias Privadas,si
100000022,ACIDO FOLICO 5MG CM/CM REC,ACIDO FOLICO 5 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.,Fármacos,51131501,Fumarato ferroso,Medicamentos antianémicos,Activo,Intermediación,1,2/6/2010,OK,,,,Farmacias Privadas,si
100000023,ACIDO FOLINICO (LEUCOVORINA) 15MG CM,ACIDO FOLINICO (LEUCOVORINA) 15 MG (EQUIVALENTE A 16.2 MG DE CALCIOFOLINATO) COMPRIMIDOS ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLOQUEASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.,Fármacos,51111508,Dacarbazina,Otros citostáticos y coadyuvantes,Inactivo,,0,,,,,,,
100000024,ACIDO MEFENAMICO 500 MG CP/CM/CM REC.,ACIDO MEFENAMICO 500 MG CAPSULA O COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA,Fármacos,51142012,Ácido mefenámico,Analgésico,Activo,,0,,,,,,,si
100000025,ACIDO ORTOFOSFORICO 37% FRA 9 ML GEL,ACIDO ORTOFOSFORICO 37% EN GEL (ACIDO GRABADOR DE ESMALTE/ETCHING GEL)FRASCO PLASTICO 9 ML O JERINGA PLASTICA 9 ML ENVASE RESISTENTE CON SELLOQUE ASEGURE INVIOLABILIDAD DEL CONTENIDO,Insumos,42152456,Agentes cubrientes o,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100000026,TOFACITINIB 11 MG CM REC LIB PROL,MATERIAL UNIDAD DE ESTUDIOS: TOFACITINIB 11 MG COMPRIMIDO RECUBIERTO DELIBERACION PROLONGADA. ENVASADO EN BLISTER O FRASCO HASTA 60COMPRIMIDOS. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDADDEL CONTENIDO. COTIZAR POR COMPRIMIDO RECUBIERTO DE LIBERACIONPROLONGADA.,Fármacos,NULL,NULL,Medicamentos y Productos Farmacéuticos,Inactivo,,0,,,,,,,
100000027,ACIDO PIPEMIDICO CP 400 MG,ACIDO PIPEMIDICO CP 400 MG ENVASADA EN BLISTER ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO,Fármacos,51102205,Ácido nalidixico,Antibióticos,Inactivo,,0,,,,,,,
100000028,ACIDO TRANEXAMICO 500 MG CP/CM REC,ACIDO TRANEXAMICO 500 MG CAPSULA O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR CAPSULA O COMPRIMIDO RECUBIERTO.,Fármacos,51131805,Etamsilato,Hemostáticos sistémicos y coagulantes,Activo,Intermediación,1,2/6/2010,OK,,,,Farmacias Privadas,si
100000029,ACIDO TRANSRETINOICO 10 MG CP,"ACIDO TRANSRETINOICO 10 MG (TRETINOINA) CAPSULA BLANDA, ENVASADA ENFRASCO HASTA 100 CAPSULAS O BLISTER. ENVASE RESISTENTE CON SELLO QUEASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA.",Fármacos,51241220,Tretinoína,Otros citostáticos y coadyuvantes,Activo,Intermediación,0,1/8/2025,OK,,,,,
100000030,ACIDO URSODEOXICOLICO 250MG CP/CM/CM REC,"ACIDO URSODEOXICOLICO 250 MG CAPSULA, COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURELA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA, COMPRIMIDO OCOMPRIMIDO RECUBIERTO.",Fármacos,51172003,Ursodiol,Hepatoprotectores,Activo,Intermediación,1,2/6/2010,OK,,Programas Ministeriales,Fibrosis Quística,Farmacias Privadas,si
100000031,ACIDO VALPROICO 250 MG/5ML FRASCO 120ML,ACIDO VALPROICO 250 MG/5 ML JARABE FRASCO 100 A 120 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.,Fármacos,51141531,Ácido valproico,"Anticonvulsivantes, antiepilépticos",Activo,Intermediación,1,2/6/2010,OK,,,,,si
100000032,ACIDO VALPROICO 375 MG/ML FRA 25 ML ORAL,ACIDO VALPROICO GOTAS PEDIATRICAS 375 MG/ML FRASCO 25 ML ENVASE INDIVIDUAL CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO,Fármacos,51141531,Ácido valproico,"Anticonvulsivantes, antiepilépticos",Inactivo,,0,,,,,,,
100000033,ACIDO VALPROICO 250 MG CM REC ENT,ACIDO VALPROICO 250 MG COMPRIMIDO CON RECUBRIMIENTO ENTERICO ENVASADO ENBLISTER O FRASCO HASTA 60 COMPRIMIDOS. ENVASE RESISTENTE CON SELLOQUEASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO CONRECUBRIMIENTO ENTERICO.,Fármacos,51141531,Ácido valproico,"Anticonvulsivantes, antiepilépticos",Activo,Intermediación,1,2/6/2010,OK,,,,Farmacias Privadas,si
100000034,ACIDO VALPROICO 200 MG CP/CM REC ENT,ACIDO VALPROICO 200 MG COMPRIMIDO CON RECUBRIMIENTO ENTERICO O CAPSULA CON RECUBRIMIENTO ENTERICO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.,Fármacos,51141531,Ácido valproico,"Anticonvulsivantes, antiepilépticos",Activo,Intermediación,1,2/6/2010,OK,,,,Farmacias Privadas,si
100000035,ACIDO VALPROICO 500 MG CM/CP REC ENT,"ÁCIDO VALPROICO 500 MG COMPRIMIDO CON RECUBRIMIENTO ENTÉRICO O CÁPSULASBLANDAS CON RECUBRIMIENTO ENTÉRICO, ENVASADO EN FRASCO HASTA 60 CM/CP OBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO CON RECUBRIMIENTO ENTÉRICO O CÁPSULASBLANDAS CON RECUBRIMIENTO ENTÉRICO.",Fármacos,51141531,Ácido valproico,"Anticonvulsivantes, antiepilépticos",Activo,Intermediación,1,2/6/2010,OK,,,,Farmacias Privadas,si
100000036,ACIDO ZOLEDRONICO 4 MG/5ML AM/BO SOL INY,ACIDO ZOLEDRONICO 4 MG LIOFILIZADO O 4 MG/5 ML SOLUCION INYECTABLE PARAADMINISTRACION INTRAVENOSA AMPOLLA O FRASCO AMPOLLA O BOLSA INFUSION. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA O BOLSA.,Fármacos,51182415,Ácido zoledrónico,Sales de calcio y reguladores del calcio,Activo,Intermediación,1,2/6/2010,OK,,,,,si
100000037,IXEKIZUMAB 80MG/ML SOL.INY JER PRE 1ML,"MATERIAL UNIDAD DE ESTUDIOS: IXEKIZUMAB 80MG/ML SOLUCION INYECTABLEENVASADA EN DISPOSITIVO O JERINGA PRELLENADA 1ML, PARA ADMINISTRACIÓNSUBCUTANEA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR DISPOSITIVO O JERINGA PRELLENADA.",Fármacos,NULL,NULL,Medicamentos y Productos Farmacéuticos,Inactivo,,0,,,,,,,
100000038,ADENOSINA 6MG/2ML SOL.INY AM/FAM/JRP,ADENOSINA 6 MG/2ML SOLUCION INYECTABLE INTRAVENOSA AMPOLLA O FRASCO AMPOLLA O JERINGA PRELLENADA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA O JERINGA PRELLENADA.,Fármacos,51121501,Adenosina,Antiarrítmicos,Inactivo,,0,,,,,,,si
100000039,AEROCAMARA ADULTO P/INHALADOR AEROSOL,"AEROCAMARA ADULTO VALVULADA UNIDIRECCIONAL PARA USO INHALACIONAEROSOLES, TRANSPARENTE, FORMADA POR UNA CAMARA CONICA O CILINDRICA DEMATERIAL ANTIESTATICO Y LAVABLE. ESPACIADOR CON VOLUMEN ENTRE 500 A 800ML DE 22 A 27 CMS DE LARGO. EXTREMO DE ADAPTACION UNIVERSAL AL INHALADORY EL OTRO EXTREMO QUE INCLUYA PIEZA BUCAL. ENVASE INDIVIDUAL RESISTENTECON SELLOQUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR PORUNIDAD.",Insumos,42271802,Nebulizadores o acce,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100000040,AEROCAMARA PEDIATRIC P/INHALADOR AEROSOL,"AEROCAMARA PEDIATRICA (NIÑOS MAYORES 18 MESES A 9 AÑOS 11 MESES)PROVISTA DE VALVULA UNIDIRECCIONAL PARA USO INHALACION AEROSOLES,TRANSPARENTE, FORMADA POR UNA CAMARA CONICA O CILINDRICA DE MATERIALANTIESTATICO Y LAVABLE. ESPACIADOR CON VOLUMEN ENTRE 350 A 500 ML DE 15A 18 CMS DE LARGO. UN EXTREMO DE ADAPTACION UNIVERSAL AL INHALADOR  Y ELOTRO EXTREMO QUE INCLUYA PIEZA BUCAL. ENVASE INDIVIDUAL RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.",Insumos,42271802,Nebulizadores o acce,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100000041,BARICITINIB 2 MG CM REC,BARICITINIB 2 MG COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR COMPRIMIDO RECUBIERTO.,Fármacos,51142145,Adalimumab,"Antiartrósico, antirreumático",Activo,,0,,,,,,,
100000042,AGENTE ENLACE FOTOCURADO FRA 5-6  ML,AGENTE ENLACE ESMALTE-DENTINA DE FOTOCURADO FRA 5 A 6 ML PLASTICO OPACOCON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO,Insumos,42152456,Agentes cubrientes o,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100000043,AGUA ESTERIL P/INY 1000 ML SEMIRIGIDO,AGUA ESTERIL PARA INYECTABLES 1000 ML ENVASE SEMIRIGIDO. ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR ENVASE.,Sueros,51191602,Electrolitos de clor,Agua y electrolitos,Inactivo,,0,,,,,,,
100000044,AGUA ESTERIL P/INYECT. 500 ML SEMIRIGIDO,AGUA ESTERIL PARA INYECTABLES 500 ML ENVASE SEMIRIGIDO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR ENVASE.,Sueros,51191602,Electrolitos de clor,Agua y electrolitos,Activo,Intermediación,1,2/6/2010,OK,,,,,si
100000045,AGUA ESTERIL P/INYECTABLES 5 ML AM,"AGUA ESTERIL PARA INYECTABLES AMPOLLA, VIDRIO O PLASTICO SEMIRIGIDO CONSISTEMA ABRE FACIL,  ENVASE 5 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA.",Fármacos,51191602,Electrolitos de clor,Agua y electrolitos,Activo,Intermediación,1,1/7/2024,OK,,,,,si
100000046,AGUA ESTERIL P/INYECTABLES 10 ML AM,"AGUA ESTERIL PARA INYECTABLES, AMPOLLA VIDRIO O PLASTICO SEMIRIGIDO CONSISTEMA ABRE FACIL,  ENVASE 10 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA.",Fármacos,51191602,Electrolitos de clor,Agua y electrolitos,Activo,Intermediación,1,2/6/2010,OK,,,,,si
100000047,AGUA ESTERIL P/INYEC  AM VIDRIO 10 ML,AGUA ESTERIL PARA INYECTABLES AM  VIDRIO 10 ML ENVASE RESISTENTE CONSELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO,Fármacos,51191602,Electrolitos de clor,Agua y electrolitos,Inactivo,,0,,,,,,,
100000048,AGUA ESTERIL P/INYECT  AM VIDRIO 5 ML,AGUA ESTERIL PARA INYECTABLES AM VIDRIO 5 ML ENVASE RESISTENTE CON SELLOQUE ASEGURE INVIOLABILIDAD DEL CONTENIDO,Fármacos,51191602,Electrolitos de clor,Agua y electrolitos,Inactivo,,0,,,,,,,
100000049,AGUA LIBRE DE NUCLEASAS P/ BIOL. MOLEC.,AGUA LIBRE DE NUCLEASAS P/TECNICAS EXPERIMENTALES EN BIOLOGIA MOLECULARFRA 50 ML ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO,Insumos,41116134,"Reactivos, solucione",Reactivos y solventes,Inactivo,,0,,,,,,,
100000050,AGUA OXIGENADA FARMAC. 10 VOL. FRA 1 L,AGUA OXIGENADA 10 VOLUMENES FARMACOPEA FRASCO 1 LITRO CON TAPADOSIFICADORA ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO,Fármacos,51102709,Antisépticos de peró,Antibióticos,Inactivo,,0,,,,,,,
100000051,AGUA OXIGENADA SOLTOPICA10 VOL FRA 250ML,AGUA OXIGENADA 10 VOLUMENES SOLUCION TOPICA FARMACOPEA FRASCO 250 ML CON TAPA DOSIFICADORA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.,Fármacos,51102709,Antisépticos de peró,Antibióticos,Inactivo,,0,,,,,,,
100000052,"AGUJA 18 G X 1,50 PULGADA DESECHABLE","AGUJA HIPODERMICA DESECHABLE 18 G X 1,5PULGADA CONO LUER ENVASE INDIVIDUAL ESTERIL.",Insumos,42142523,Agujas hipodérmicas,"Agujas inyección, aspirac. y accesorios",Inactivo,,0,,,,,,,
100000053,AGUJA 19 G X 1 PULGADA DESECHABLE,AGUJA HIPODERMICA DESECHABLE 19 G X 1PULGADA CONO LUER. ENVASE INDIVIDUALESTERIL RESISTENTE CON APERTURA DE PESTAÑA CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.,Insumos,42142523,Agujas hipodérmicas,"Agujas inyección, aspirac. y accesorios",Inactivo,,0,,,,,,,
100000054,"AGUJA 19 G X 1,50 DESECHABLE","AGUJA HIPODERMICA DESECHABLE 19 G X 1,5 CONO LUER  ENVASE INDIVIDUALESTERIL",Insumos,42142523,Agujas hipodérmicas,"Agujas inyección, aspirac. y accesorios",Inactivo,,0,,,,,,,
100000055,"AGUJA 21 G X 1,00 DESECHABLE","AGUJA HIPODERMICA DESECHABLE 21 G X 1,00 CONO LUER  ENVASE INDIVIDUALESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR UNIDAD.",Insumos,42142523,Agujas hipodérmicas,"Agujas inyección, aspirac. y accesorios",Activo,Intermediación,0,2/6/2010,OK,,Programas Ministeriales,Ley Ricarte Soto,,si
100000056,"AGUJA 21 G X 1,5 DESECHABLE","AGUJA HIPODERMICA DESECHABLE 21 G X 1,5  PULGADA CONO LUER. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. ESTERIL, DESECHABLE, LIBRE DE LATEX. ROTULO DEBE SEÑALAR ESTERIL, DESECHABLE. CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICADO EMITIDO POR EL FABRICANTE. COTIZAR POR UNIDAD.",Insumos,42142523,Agujas hipodérmicas,"Agujas inyección, aspirac. y accesorios",Activo,Intermediación,0,2/6/2010,OK,,,,,si
