Producto;Codigo;Stock;Costo;Precio;Categoria;Estado
AEROGASTROL METOCLOPRAMIDA + CLORDIAZEPOXIDO + SIMETICONA 5MG + 5MG + 100MG20 CAPS.;7800046005112;118;0;5000;Antieméticos y antivértigo;DISPONIBLE
AFTA GEL BENZOCAINA + CETILPRIDINIO CLORURO 5.0G + 0.5G X20G LAB. EUROFARMA;7800046004993;1;0;4000;Medicamentos y Productos Farmacéuticos;DISPONIBLE
AFTER SUN ALIVIO INMEDIATO ISDIN X200ML;8470003808996;4;0;11000;SIN CLASIFICAR;DISPONIBLE
AFTER SUN LEBLON ALOE VERA 190 G.;7800004005284;11;0;3500;Medicamentos y Productos Farmacéuticos;DISPONIBLE
AGUA BIDESTILADA 1L.;7800062001853;10;0;3000;Agua y electrolitos;DISPONIBLE
AGUA BIDESTILADA 500ML APIROFLEX;7800062001792;33;0;2000;Agua y electrolitos;DISPONIBLE
AGUA BRAVA AZUL;8411061090978;4;0;14000;Agua y electrolitos;DISPONIBLE
AGUA DEL CARMEN 100 ML;7800068010125;30;0;5500;Agua y electrolitos;DISPONIBLE
AGUA DEL CARMEN SOL ISPH 40ML;7800068010118;5;0;2500;Agua y electrolitos;DISPONIBLE
AGUA MELISA GOTAS SANITAS;7800038040510;9;0;2500;Agua y electrolitos;DISPONIBLE
AGUA MICELAR TODO EN 1 GARNIER SKINACTIVE X400ML;7509552455557;3;0;4000;Agua y electrolitos;DISPONIBLE
AGUA MICELAR-ACEITEOLE GAR-SKI 100ML;3600542109802;4;0;3500;Agua y electrolitos;DISPONIBLE
AGUALA PICOSULFATO DE SODIO 750MG X10ML LAB. ROYAL PHARMA;7800059002733;3;0;3000;Laxantes;DISPONIBLE
AGUJA HIPODERMICA ESTERIL 23GX1;65670286;100;0;100;Agujas inyección, aspirac. y accesorios;DISPONIBLE
AJO NEGRO BLACK GARLIC 36 G;75942205625211;6;0;7500;SIN CLASIFICAR;DISPONIBLE
AJO PEREJIL SUPLEMENTO ALIMENTICIO 350MG X60 CAPS LAB. VALLE Y SOL;5854020658841;3;0;3500;Vitaminas, minerales y oligoelementos;DISPONIBLE
AJO PURO AJO EN POLVO 297MG X60 CAP. LAB. AURA VITALIS;7803319004492;100;0;3000;Otros equipos electrom. no especificados;DISPONIBLE
AKARANTA TIOCOLCHICOSIDO 8MG X12CAPS LAB. ABBOTT;7800026008126;7;0;10000;Medicamentos y Productos Farmacéuticos;DISPONIBLE
ALCACHOFA 0.228ML 60CAPS LAB. AURA VITALIS;7803319000098;100;0;3500;SIN CLASIFICAR;DISPONIBLE
ALCOHOL DESNATURALIZADO 70- ELITE 500CC;10030189;39;0;2000;Desinfectantes y esterilización en frío;DISPONIBLE
ALCOHOL DESNATURALIZADO 70- X 1MLCC;7800045001788;48;0;3500;Desinfectantes y esterilización en frío;DISPONIBLE
ALCOHOL DESNATURALIZADO AL 95 X 500ML ELITE;7800045001832;38;0;2000;Desinfectantes y esterilización en frío;DISPONIBLE
ALCOHOL GEL 70 X 340 ML ELITE;10030431;10;0;2500;Desinfectantes y esterilización en frío;DISPONIBLE
ALCOHOL ISOPROPILICO IPA 70- X290ML;7801000000396;10;0;4000;Desinfectantes y esterilización en frío;DISPONIBLE
ALCOHOL SPRAY AL 70 PARA MANOS 100 ML. FAMILY SET;7805633022374;65;0;1000;Desinfectantes y esterilización en frío;DISPONIBLE
ALDROX ACIDO ALENDRONICO 70 MG. X10 COMP. LAB. PASTEUR;7800068010156;2;0;15000;Vitaminas, minerales y oligoelementos;DISPONIBLE
ALENYS FLUTICASONA FUROATO 27.5MCG 120DOSIS LAB. ETEX;7800030075008;13;0;18500;Antiasmáticos;DISPONIBLE
ALERDRAG HIDROCORTISONA 0.5 SHAMPOO ANTIALERGICO X150ML DRAG PHARMA;7800006001321;18;0;13000;Corticosteroides, esteroides anabólicos;DISPONIBLE
ALEXIA FEXOFENADINA 120MG X30COMP LS B;7800060112582;4;0;16000;Antihistamínicos;DISPONIBLE
ALFADOXIN DOXAZOSINA 4MG X30 COMP. LAB DE CHILE;7800007421883;9;0;9500;Antihipertensivos;DISPONIBLE
ALFEXA 180 FEXOFENADINA CLORHIDRATO 180MG X30COMP. ASCEND B;7804650884491;7;0;15000;Antihistamínicos;DISPONIBLE
ALFLOREX BIFIDOBACTERIUM LONGUM 7.5G X30CAPS LAB. AXON;5392000067417;21;0;25000;Medicamentos y Productos Farmacéuticos;DISPONIBLE
ALGIAFIN PARACETAMOL 120MG 5ML X60ML LAB IPHSA;7804614931230;38;0;3000;Analgésico;DISPONIBLE
ALGINATO AG 10UND 10x10 LAB. ROKYMEDS;6920230614058;2;0;3500;Dispositivos y accesorios médicos;DISPONIBLE
ALGODON HIDROFILO 25OGRS FAM SET;7805633013419;18;0;4000;Algodón y relacionados;DISPONIBLE
ALGODON HIDROFILO NAPA PR FAM SET 50GR;7805633013433;49;0;600;Algodón y relacionados;DISPONIBLE
ALIVIDOL PARACETAMOL 1000MG X20COMP LAB. OPKO;7804620835492;288;0;2500;Analgésico;DISPONIBLE
ALL OUT  PIOJOS 50 ML. CON PEINE;7800004003693;6;0;8500;SIN CLASIFICAR;DISPONIBLE
ALLEDRYL LORATADINA + PSEUDOEFEDRINA 2.5MG + 15MG X120ML LAB.PRATER;7804918410325;2;0;5000;Antihistamínicos;DISPONIBLE
ALLEDRYL-D CAP X 20 -LORATADINA 5MGPSEUDOEFEDRINA120MG;7804918410356;11;0;8500;SIN CLASIFICAR;DISPONIBLE
ALOE FEROX 150MG X20 CAPS LAB. GARDEN HOUSE;7803510002914;1;0;2500;Medicamentos y Productos Farmacéuticos;DISPONIBLE
ALOE GARDEN LAXANTE SUAVE Y EFECTIVO 60 CAPS;7803510002907;2;0;6000;Medicamentos y Productos Farmacéuticos;DISPONIBLE
ALOE VERA 250MG X60CAPS LAB. NATURAL SPA;5854020658414;100;0;4000;Medicamentos y Productos Farmacéuticos;DISPONIBLE
ALOE VERA GEL X500ML VALLE Y SOL;5854020658452;97;0;6500;Medicamentos y Productos Farmacéuticos;DISPONIBLE
ALOELAX LAXANTE 50 CAPS;7803504000162;4;0;5500;SIN CLASIFICAR;DISPONIBLE
ALOPEK MINOX 5%;7800059002511;1;0;26000;SIN CLASIFICAR;DISPONIBLE
ALOPURINOL 100 MG. 20 COMP. LAB. SEVEN PHARMA;8902281613707;249;0;1000;Fármacos antigota;DISPONIBLE
ALOPURINOL 100MG 20 COMP;7800063001654;64;0;1000;Fármacos antigota;DISPONIBLE
ALOPURINOL 300MG X20COMP SEVEN PHARMA B;8902281611383;251;0;1000;Fármacos antigota;DISPONIBLE
ALPRAZOLAM 0.50MG X30COMP LCH B;7800007368386;62;0;1000;Ansiolíticos, tranquiliz., antimaníacos;DISPONIBLE
ALTA ZING 10MG;7800060122116;7;0;15000;SIN CLASIFICAR;DISPONIBLE
ALUMINIO HIDOXIDO HIDROXIDO DE ALUMINIO 6G X180ML LAB. CHILE;7800007136336;18;0;4000;Antiácidos y antiflatulentos;DISPONIBLE
ALWAY SULTF FLUJO ABUNDANTE X8;7590002012383;9;0;2000;SIN CLASIFICAR;DISPONIBLE
AMBILAN AMOXICILINA + ACIDO CLAVULANICO 800MG + 57MG X90ML LAB. DE CHILE;7800007782120;2;0;24000;Antibióticos;DISPONIBLE
AMBROXOL CLORHIDRATO 30 MG 100 ML LAB. OPKO;7804620833580;63;0;2000;Productos para tos, mucolíticos;DISPONIBLE
AMBROXOL CLORHIDRATO CLORHIDRATO DE AMBROXOL 15MG X100ML LAB. HOSPIFARMA;7804640561357;135;0;2000;Productos para tos, mucolíticos;DISPONIBLE
AMBROXOL CLORHIDRATO JBE 30MG5ML HOSP 120ML;7804640561340;91;0;2000;Productos para tos, mucolíticos;DISPONIBLE
AMIODARONA CLORHIDRATO 200 MG. 20 COMP. LAB. MILAB;7800063110707;17;0;3000;Antiarrítmicos;DISPONIBLE
AMITRIPTILINA CHORHIDRATO 25 MG. 100 COMP. LAB. DE CHILE;7800007114440;37;0;4000;Antidepresivos;DISPONIBLE
AMLIPROS AMLODIPINO + OLMESARTAN MEDOXOMILO 40MG + 10MG X30COMP LAV. ASCEND;7804650885887;4;0;12000;Antihipertensivos;DISPONIBLE
AMLIPROS COMPRIMIDO 540 MG X 30;7804650882657;3;0;11500;SIN CLASIFICAR;DISPONIBLE
AMLODIPINO 10 MG. 30 COMP. LAB. MILAB B;7800063112022;37;0;1000;Antihipertensivos;DISPONIBLE
AMLODIPINO 10MG 30 COMP. OPKO;7804620834945;33;0;1000;Antihipertensivos;DISPONIBLE
AMLODIPINO 5 MG 30 COMPRIMIDOS ASCEND LABORATORIES;7804650881797;30;0;1000;Antihipertensivos;DISPONIBLE
AMLODIPINO 5 MG. 30 COMP. LAB. MILAB B;7800063116600;80;0;1000;Antihipertensivos;DISPONIBLE
AMLODIPINO COM .10MGX60 COMPR;7800063112039;143;0;2800;Antihipertensivos;DISPONIBLE
AMMENS COL 120ML + 75ML;7804945049918;1;0;4500;SIN CLASIFICAR;DISPONIBLE
AMMENS COLONIA 120ML;75898157196267;6;0;3500;SIN CLASIFICAR;DISPONIBLE
AMMENS COLONIA 75ML C/ESTUCHE;7804945050198;5;0;2500;SIN CLASIFICAR;DISPONIBLE
AMOBIOTIC AMOXICILINA 1G X20 COMP. LAB. DE CHILE;7800007782472;33;0;24000;Antibióticos;DISPONIBLE
AMOVAL AMOXICILINA 250MG X100 ML LAB. SAVAL;7800060111264;4;0;11500;Antibióticos;DISPONIBLE
AMOVAL AMOXICILINA 500MG X100ML LAB. SAVAL;7800060111349;8;0;20000;Antibióticos;DISPONIBLE
AMOVAL DUO 1000MG/ 5ML;7800060156012;1;0;21000;SIN CLASIFICAR;DISPONIBLE
AMOVAL DUO AMOXICILINA 1000MG X90ML LAB SAVAL;7800060119918;2;0;19000;Antibióticos;DISPONIBLE
AMOVAL DUO SUS.1000.50ML;7800060120099;1;0;14000;SIN CLASIFICAR;DISPONIBLE
AMOXI 875+ ACIDO CLAVULANICO 125 20 COMP;7804620833818;50;0;6000;Vitaminas, minerales y oligoelementos;DISPONIBLE
AMOXICILINA + ACIDO CLAVULANICO 500MG + 125MG X20COMP LAB. OPKOBE;7804620833900;19;0;5000;Antibióticos;DISPONIBLE
AMOXICILINA + ACIDO CLAVULANICO 875 - 125 14 COMP. LAB. OPKOBE;7804620833535;50;0;5000;Antibióticos;DISPONIBLE
AMOXICILINA + ACIDO CLAVULANICO AMOXICILINA + ACIDO CLAVULANICO 400MG + 57MG X70ML LAB. HOSPIFARMA;7804640560893;48;0;6500;Antibióticos;DISPONIBLE
AMOXICILINA 500 MG 21 CAPS LAB. CURAESPRING;7804673040409;13;0;1500;Antibióticos;DISPONIBLE
AMOXICILINA 500 MG. 21 CAPS. LAB. MILAB;7800063121000;77;0;1500;Antibióticos;DISPONIBLE
AMOXICILINA 500MG/5ML P.S.O 60ML;8904208905155;125;0;2000;Antibióticos;DISPONIBLE
AMOXICILINA 750MG X10COMP. MINTLAB B;7800063110547;232;0;1500;Antibióticos;DISPONIBLE
AMOXICILINA ACIDO CLAVULANICO 875 MG. - 125 MG. 20 COMP. LAB. ETHON;7804633500394;25;0;5500;Antibióticos;DISPONIBLE
AMOXICILINA ACIDO CLAVULANICO 875MG125MG X14COMP. ETHON B;7804633500622;8;0;5000;Antibióticos;DISPONIBLE
AMOXICILINA AMOXICILINA 250 MG X60ML LAB. CURAESPRING;7804673040065;11;0;1500;Antibióticos;DISPONIBLE
AMOXICILINA SO AMOXICILINA 500 MG X60ML LAB. OPKO;7804620833412;70;0;2000;Antibióticos;DISPONIBLE
AMOXICILINA SUS 250 MG 5ML LAB OPKO;7804620833610;69;0;2000;Antibióticos;DISPONIBLE
AMPLEX AMLODIPINO + VALSARTAN 5MG + 160MG X30COMP LAB. DE CHILE;7800007788672;3;0;25000;Antihipertensivos;DISPONIBLE
ANACIN CLASICO ACIDO ACETISALICLICO + CAFEINA 325MG + 15MG X8COMP LAB. GSK;7804900000954;5;0;1500;Vitaminas, minerales y oligoelementos;DISPONIBLE
ANACIN MAX ACIDO ACETILSACILICICO 300MGPARACETAMOL200MGCAFEINA45MG;7804900000930;19;0;1500;Vitaminas, minerales y oligoelementos;DISPONIBLE
ANAGEN CASSARA MINOXIDIL LOCION CAPILAR 5% X 100ML;7795373010062;6;0;2300;Medicamentos y Productos Farmacéuticos;DISPONIBLE
ANC ACEITE PEPA CALABAZA X 30 CAPS;7805357003901;12;0;5500;Laxantes;DISPONIBLE
ANC FITOFEM X60 CAPS BLISTER;7805357000863;2;0;8500;SIN CLASIFICAR;DISPONIBLE
ANC ZINC+VIT C+MAG X60 CAPS;7805357001648;23;0;4000;SIN CLASIFICAR;DISPONIBLE
ANFEBUTAMONA CLORHIDRATO 300 MG. 30 COMP. MOMENTA;7891317020248;14;0;10500;Antidepresivos;DISPONIBLE
ANILINA NEGRO MONTBLAC;7805327000015;14;0;2000;SIN CLASIFICAR;DISPONIBLE
ANTI PIGMENTO Y MANCHAS EUCERIN;4005800365959;2;0;38000;SIN CLASIFICAR;DISPONIBLE
ANTIAX ANTIFLATUL 6COMP SAV 480100MG;7800060130647;127;0;1500;SIN CLASIFICAR;DISPONIBLE
ANTIAX MAGALDRATO + SIMETICONA 480MG + 100MG X180ML LAB. SAVAL;7800060014497;14;0;12000;Medicamentos y Productos Farmacéuticos;DISPONIBLE
ANTIMETIL EXTRACTO SECO DE RIZOMA DE JENGIBRE 50MG X30COMP LAB. LCH;7800007808387;2;0;10000;SIN CLASIFICAR;DISPONIBLE
ANTITRANSPIRANTE AEROSOL NIVEA EFFECT X150ML;4005808231065;6;0;2500;SIN CLASIFICAR;DISPONIBLE
ANTITRANSPIRANTE ALTA EFICACIA 20ML PERSIREX;5701943100387;6;0;11500;SIN CLASIFICAR;DISPONIBLE
ANTITRANSPIRANTE GILLETTE HYDRA GEL + ALOE VERA 82G;7500435140591;13;0;4500;Medicamentos y Productos Farmacéuticos;DISPONIBLE
ANTITRANSPIRANTE HIDRO FUGAL CLASSIC;4005800344961;8;0;10000;SIN CLASIFICAR;DISPONIBLE
ANTITRANSPIRANTE REXONA INVISIBLE 72H. SPRAY AEROSOL;7791293049526;19;0;2500;SIN CLASIFICAR;DISPONIBLE
ANTONIO BANDERAS BLUE SEDUCTION 50 ML;8411061081570;1;0;19000;SIN CLASIFICAR;DISPONIBLE
ANULETTE CD LEVONORGESTREL 0.15 MG ETINELESTRADIOL 0.03 MG. 28 COMP. LAB. ANDROMACO;7800020187506;90;0;5000;Estrógenos, progestágenos y anticoncep.;DISPONIBLE
APETICAT SUPLEMENTO ALIMENTICIO X100ML LAB. DRAG PHARMA;7800006002908;3;0;8000;Vitaminas, minerales y oligoelementos;DISPONIBLE
APETIPED SUPLEMENTO VITAMINICO X100ML LAB. DRAG PHARMA;7800006002724;7;0;8500;Vitaminas, minerales y oligoelementos;DISPONIBLE
APOQUEL OCLACITINIB 16MG X20COMP. ZOETIS;5414736054667;1;0;45000;SIN CLASIFICAR;DISPONIBLE
APOQUEL OCLACITINIB 3.6MG X20COMP LAB. ZOETIS;5414736044194;7;0;38000;SIN CLASIFICAR;DISPONIBLE
APOQUEL OCLACITINIB 5.4MG X20COMP ZOETIS;5414736044200;4;0;40000;SIN CLASIFICAR;DISPONIBLE
APOSITOS PLENITUD LEVE 20UND;7794626011252;34;0;5500;SIN CLASIFICAR;DISPONIBLE
APOSITOS TRANSPARENTES FAMILY SET 3 UNIDADES 10X12CM.;7805633008101;10;0;2000;SIN CLASIFICAR;DISPONIBLE
AQUAPHOR EUCERIN REPARADOR LABIAL X 10ML;4005800268731;13;0;10000;SIN CLASIFICAR;DISPONIBLE
AQUAWIPES 80UND BUBU;7805633026846;27;0;2000;SIN CLASIFICAR;DISPONIBLE
AR-T-PRESS ESPINO ALBAR + OLIVA + ALGAS MARINAS 65 + 47 + 47 X60CAPS LAB. AURA VITALIS;7803319005826;8;0;4000;SIN CLASIFICAR;DISPONIBLE
ARIPIPRAZOL 15 MG . 30 .COMP. LAB. DE CHILE;7800007810090;9;0;7500;Antipsicóticos;DISPONIBLE
ARIPIPRAZOL 30COMP SEV PHA 10MG;8903726198605;1;0;6000;Antipsicóticos;DISPONIBLE
ARIZOL 5MG ARIPIPRAZOL 28 COMPRIMIDOS;7804656600491;1;0;17000;Antipsicóticos;DISPONIBLE
ARNIKADERM CONTUSIONES - HEMATOMAS - USO TOPICO X50G KNOP;7803504005808;46;0;5000;SIN CLASIFICAR;DISPONIBLE
ARTHOZEEL- HEEL 5 AMPO;7809561400662;3;0;20000;SIN CLASIFICAR;DISPONIBLE
ARTRI-TAB SUPLEMENTO ALIMENTICIO MASCOTAS 60TABS LAB INTERFARMA;714193699711;7;0;29000;Vitaminas, minerales y oligoelementos;DISPONIBLE
ARTRIOFIN CARPROFENO 88MG X10COMPR. LAB DRAG PHARMA;7800006004384;12;0;14000;SIN CLASIFICAR;DISPONIBLE
ASEPXIA AZUFRE ANTI-SEBO JABON X 100 GR;650240007828;5;0;5500;Dermatológicos, fanereos;DISPONIBLE
ASEPXIA CARBON DETOX JAB 100G ASEP;650240035401;10;0;4000;Antídotos, quelantes y eméticos;DISPONIBLE
ASEPXIA EXFOLIANTE JAB BARRA ASE 100G;650240004643;9;0;4000;SIN CLASIFICAR;DISPONIBLE
ASEPXIA JABON BICARBONATO X100GRS;650240036965;5;0;4500;SIN CLASIFICAR;DISPONIBLE
ASEPXIA SPOT SECANTE GEL X 28GR;650240004001;1;0;7500;SIN CLASIFICAR;DISPONIBLE
ASHWAGANDHA;799192435300;4;0;9000;SIN CLASIFICAR;DISPONIBLE
ASPIRADOR NASAL SIMONS BREAHE EZZ FILTRO EST HIGIENICO NUBY;7804945024311;1;0;8000;Dispositivos y accesorios médicos;DISPONIBLE
ASPIRINA 100MG TIRA 98UND;7793640992554;75;0;7000;SIN CLASIFICAR;DISPONIBLE
ASPIRINA ADULTOS TIRA DE 10UND COMP ACIDO ACETILSALICILICO 500MG;7793640211259;675;0;7000;Vitaminas, minerales y oligoelementos;DISPONIBLE
ASPIRINA FORTE 80 COMP ACIDO ACETILSALICILICO 650MG;7793640002543;6;0;8000;Vitaminas, minerales y oligoelementos;DISPONIBLE
ATENOLOL 100 MG. 20 COMP LAB. MINTLAB;7800063110288;294;0;1000;Antihipertensivos;DISPONIBLE
ATENOLOL 50 MG. 20 COMP. LAB. ANDROMACO;7800018000855;150;0;500;Antihipertensivos;DISPONIBLE
ATENOLOL 50 MG. 20 COMP. LAB. OPKO B;7804620833948;16;0;500;Antihipertensivos;DISPONIBLE
ATENOLOL 50MG. X20COMP. LCH;7800007388735;27;0;500;Antihipertensivos;DISPONIBLE
ATORVASTATINA 10 MG. 30 COMP. LAB. MSN;8904159674995;181;0;1000;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
ATORVASTATINA 20 MG. 30 COMP. LAB CHILE;7800007801555;32;0;1000;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
ATORVASTATINA 20 MG. 30 COMP. LAB. MSM;8904159675589;93;0;1000;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
ATORVASTATINA 40 MG. 30 COMP. LAB. DE CHILE;7800007806765;10;0;3500;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
ATORVASTATINA 40 MG. 30 COMP. OPKO.;7804620835386;10;0;6800;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
ATORVASTTINA 40 MG;8904159685120;27;0;3000;SIN CLASIFICAR;DISPONIBLE
AURA VITALIS KIDS NERVOKIDS;7803319005918;9;0;3570;SIN CLASIFICAR;DISPONIBLE
AURALAX ALOE VERA + MANZANILLA + LATOBACILLUS 55MG + 55MG + 57MG X60CAPS LAB. AURA VITALIS;7803319005741;8;0;5000;Medicamentos y Productos Farmacéuticos;DISPONIBLE
AVAMYS FLUTICASONA FUROATO NEBULIZACION NASAL 27.5MCGDOSIS X120DOSIS GSK;7800029000301;12;0;20000;Antiasmáticos;DISPONIBLE
AVENE AGUA TERMAL;3282779003131;3;0;16000;Agua y electrolitos;DISPONIBLE
AVENE CICALFATE CREMA REPARADORA PROTECTORA 40ML LAB. PIERRE FABRE;3282770204667;2;0;10000;Fórmulas especificados por Minsal;DISPONIBLE
AVENE EAU THERMALE AGUA TERMAL X150ML PIERRE FABRE;3282779003124;1;0;12000;Agua y electrolitos;DISPONIBLE
AVENE EAU THERMALE AGUA TERMAL X2UND 50ML CU PIERRE FABRE;7804652955502;1;0;7500;Agua y electrolitos;DISPONIBLE
AVIATUS LEVODROPROPIZINA 30MG X120ML LAB. PRATER;7804918500910;16;0;4000;Productos para tos, mucolíticos;DISPONIBLE
AXE APOLLO 72HRS ANTITRANSPIRANTE;7791293043739;49;0;2000;SIN CLASIFICAR;DISPONIBLE
AXE EPIC FRESH POMELO Y CARDAMOMO SPRAY;7791293044040;57;0;2000;SIN CLASIFICAR;DISPONIBLE
AXE MARINE 48HRS;7791293043791;42;0;2000;SIN CLASIFICAR;DISPONIBLE
AXE MUSK;7791293043807;99;0;2000;SIN CLASIFICAR;DISPONIBLE
AZATIOPRINA 5 0MG. 100 COMP. LAB. ASCEND;7804650881001;6;0;23000;Inmunosupresores;DISPONIBLE
AZELASTINA CLORHIDRATO 0.05;7795368001815;3;0;23000;Medicamentos y Productos Farmacéuticos;DISPONIBLE
AZITROMICINA 500MG 6COMP LAB. DE CHILE;7800007661258;33;0;2000;Antibióticos;DISPONIBLE
AZITROMICINA 500MG LAB CHILE;780007661258;13;0;2000;Antibióticos;DISPONIBLE
AZITROMICINA AZIMTROMICINA 200MG X30ML LAB. HOSPIFARMA;7804640561364;1;0;4500;Antibióticos;DISPONIBLE
AZUL DE METILENO 2 20ML. VALMA;7800044000188;14;0;2000;SIN CLASIFICAR;DISPONIBLE
B COMPLEX;4022679157850;4;0;3500;SIN CLASIFICAR;DISPONIBLE
B100 SET LIMAS UÑAS X2;7805633019237;3;0;1000;SIN CLASIFICAR;DISPONIBLE
BABY AMMENS ACONDICIONADOR FORMULA NEUTRA X250 M;7502311690510;3;0;3000;Fórmulas especificados por Minsal;DISPONIBLE
BABY SHAMPOO MANZANILLA SIMONDS BABY CARE HIPOALERGENICO X610ML DURANDIN;7804945012301;4;0;4500;SIN CLASIFICAR;DISPONIBLE
BABYLAND ACEITE RELAX 210ML;7804945075108;29;0;2000;Laxantes;DISPONIBLE
BABYLAND EMULSIONADO NEUTRO 700ML;7804945007321;3;0;4000;SIN CLASIFICAR;DISPONIBLE
BACITRACINA NEOMICINA 15 GRAS.;7804640560541;63;0;1500;Antibióticos;DISPONIBLE
