Name;SKU;Barcodes;Price;Stock;Category;Laboratory;ActiveIngredients;Bioequivalent;Description;ISP_Code;TherapeuticAction;Units;Concentration;PrescriptionType
ACETONA PURA X 60CC LAB. MANAR;50017;7892065357921;1000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ACEVIT MULTIVITAMINICO X30ML LAB. ABBOTT;;7800026012000;12000;100;;;;false;;;;;;
ACICLOVIR 200 MG X25 COMP LAB CHILE.;;7800007112743;3000;100;;;;false;;;;;;
ACICLOVIR 400 MG. 35 COMP. LAB.MINTLAB B;;7800063116778;3000;100;;;;false;;;;;;
ACICLOVIR 5% 15 GRS CREMA TOPICA LAB. DE CHILE;;7800007155719;1000;100;;;;false;;;;;;
ACICLOVIR 5% X15 GRS. CREMA TOPICA LAB ASCEND;;7804650885894;2400;100;;;;false;;;;;;
ACICLOVIR 5% X5 GRS. CREMA TOPICA LAB. MINTLAB;;7800063160016;800;100;;;;false;;;;;;
ACICLOVIR CREMA TOPICA 5% 1 TUBO 15 GRS. LAB. HOSPIFARMA;50020;8901790708614;1000;100;OTROS;SIN ASIGNACION;;false;;;ANTIVIRAL;;;
ACIDO ACETILSALICILICO 100 MG 100 COMP. LAB CHILE;50022;7800007805799;2000;100;OTROS;CHILE;;false;;;SIN ASIGNACION;;;
ACIDO ACETILSALICILICO 100 MG. X100 COMP. LAB. PASTEUR;;7800068030031;2500;100;;;;false;;;;;;
ACIDO BORICO X10 GRS. LAB. DROGUERIA ÑUÑOA;;7805357001167;500;100;;;;false;;;;;;
ACIDO MEFENAMICO 500 MG X10 COMP. LAB. CURAESPRING;50023;7804673040225;500;100;OTROS;SIN ASIGNACION;;false;;;ANALGESICO-ANTIINFLAMATORIO;;;
ACIDO MEFENAMICO 500MG X COMP. LAB. CHILE;;7800007173881;1000;100;;;;false;;;;;;
ACIDO SALICILICO 1GR. LAB. DROGUERIA ÑUÑOA;;7805357001174;350;100;;;;false;;;;;;
ACIDO VALPROICO 200MG X30COMP LAB. ANDROMACO;50024;7800018000466;6000;100;OTROS;ANDROMACO;;false;;;ANTICONVULSIONANTE;;;
ACIDO VALPROICO 500 MG. 30 COMP. LAB. ANDROMACO;50025;7800018000473;8000;100;OTROS;ANDROMACO;;false;;;ANTICONVULSIONANTE;;;
ACONDICIONADOR  SIMONS KIDS;;7804945032774;4000;100;;;;false;;;;;;
ACONDICIONADOR SEDAL 340;50026;7791293046433;3500;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ACOTOL DIONOGEST + ETINILESTRADIOL 2 MG + 0.03 MG. 28 COMP. LAB. ABBOTT;;7800026547861;15000;100;;;;false;;;;;;
ACTIOVAL PREBIOTICO 2X10 X30 CAPS LAB ARAMA;50027;7803501004569;10000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ACUODE CALECALCIFEROL 50000UI X2SOBRES LAB. ABBOTT;;7800026004791;19000;100;;;;false;;;;;;
ADAPAC 0,15% GEL 30G ADAPALENO;50029;76045284619649;20000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ADAPAC ADAPALENO 0.3G X30G LAB. FOUCHARD;;7804612010661;17000;100;;;;false;;;;;;
ADIDAS DYNAMIC PULSE X100ML;50031;3616303321987;13000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ADIDAS EDT ICE DIVE;;3616303321932;13000;100;;;;false;;;;;;
ADORLAN 2525 DICLOFENACO SODICO +TRAMADOL CLORHIDRATO 25MG + 25MG X10 COMP. GRUNENTHAL;;7861073970613;8000;100;;;;false;;;;;;
AERO TOTAL;;7804636190004;3500;100;;;;false;;;;;;
AERO-ITAN METOCLOPRAMIDA + CLRDIAZEPOXIDA + SIMETICONA 5MG + 5MG + 100MG X20CAPS LAB. SAVAL;;7800060003651;11500;100;;;;false;;;;;;
AEROCAMARA UNIVERSAL CAMARA INHALATORIA 1 UND. LAB. MINTLAB;;7800063000312;3500;100;;;;false;;;;;;
AEROLIN SALBUTAMOL 100MCG 200DOSIS LAB. GSK;;7800029002480;22000;100;;;;false;;;;;;
AEROTROP IPRATROPIO BROMURO 20MCG 250DOSIS LAB. CASSARA;;7795373013087;9000;100;;;;false;;;;;;
AESCULUS UNG. 35G KNOP;;2030751007612;5000;100;;;;false;;;;;;
AFEITADORA COMFORT 3 ADV SENSIBLE 1 UNIDAD;;70330717565;1000;100;;;;false;;;;;;
AFEITADORA FEMENINA SOLEIL BIC 1 UNIDAD;;70330731806;1000;100;;;;false;;;;;;
AFTA GEL BENZOCAINA + CETILPRIDINIO CLORURO 5.0G + 0.5G X20G LAB. EUROFARMA;;7800046004993;4000;100;;;;false;;;;;;
AFTER SUN ALIVIO INMEDIATO ISDIN X200ML;50042;8470003808996;12000;100;OTROS;ISDIN;;false;;;SIN ASIGNACION;;;
AGATHA RUIZ DE LA PRADA;;7807761896896;17500;100;;;;false;;;;;;
AGUA BIDESTILADA 1L.;;7800062001853;3000;100;;;;false;;;;;;
AGUA BIDESTILADA 500ML APIROFLEX;;7800062001792;2000;100;;;;false;;;;;;
AGUA BRAVA;;8411061401804;15000;100;;;;false;;;;;;
AGUA COLONIA 50ML + AFTER SHAVE 90ML OH MISTER CLASSIC;;7805633016878;8000;100;;;;false;;;;;;
AGUA DEL CARMEN 100 ML;;7800068010125;5500;100;;;;false;;;;;;
AGUA DEL CARMEN SOL ISPH 40ML;;7800068010118;2500;100;;;;false;;;;;;
AGUA DIAGUITAS 500ML;;;1000;100;;;;false;;;;;;
AGUA MELISA GOTAS SANITAS;;7800038040510;2500;100;;;;false;;;;;;
AGUA MICELAR ACIDO HIALURONICO REVITALIFT LOREAL PARIS;;7509552843705;6000;100;;;;false;;;;;;
AGUA MICELAR AHA PETRIZZIO X200ML;;7804907994362;3500;100;;;;false;;;;;;
AGUA MICELAR LIMPIA E HIDRATA 250ML;;7708935094554;5000;100;;;;false;;;;;;
AGUA MICELAR NEUTROGENA X200ML;;7891010251048;5000;100;;;;false;;;;;;
AGUA MICELAR TODO EN 1 GARNIER SKINACTIVE X400ML;;7509552455557;4000;100;;;;false;;;;;;
AGUA MICELAR-ACEITEOLE GAR-SKI 100ML;;3600542109802;3500;100;;;;false;;;;;;
AGUA MISCELAR BIFASICA LOREAL PARIS X200ML;;7509552800098;6500;100;;;;false;;;;;;
AGUAFRESH PACK MENTA X 2;;7804900000558;3500;100;;;;false;;;;;;
AGUALA PICOSULFATO DE SODIO 750MG X10ML LAB. ROYAL PHARMA;;7800059002733;3000;100;;;;false;;;;;;
AGUAS DIAGUITA 500ML;;76063093681043;1000;100;;;;false;;;;;;
AGUJA 21 G. UNIDAD. BD;;78909878;100;100;;;;false;;;;;;
AGUJA 23 G. UNIDAD. CRAMBERRY;;44Q2BMKAXBA9CB;100;100;;;;false;;;;;;
AGUJA HIPODERMICA 0.80 X 25MM BD;;78909793;100;100;;;;false;;;;;;
AGUJA HIPODERMICA 18 G X 1.5 PULGADA BD;;78909731;100;100;;;;false;;;;;;
AGUJA HIPODERMICA ESTERIL 23GX1;50055;65670286;100;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
AGUJA HIPODERMICA ESTERIL 26GX12 MT;;;100;100;;;;false;;;;;;
AJO NEGRO BLACK GARLIC 36 G;50058;75942205625211;7500;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
AKARANTA TIOCOLCHICOSIDO 8MG X12CAPS LAB. ABBOTT;50061;7800026008126;10000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ALCOHOL 95- 250 ML ELITE;;7800045001825;1500;100;;;;false;;;;;;
ALCOHOL DESNATURALIZADO 70- ELITE 500CC;;10030189;2000;100;;;;false;;;;;;
ALCOHOL DESNATURALIZADO 70- X 1MLCC;;7800045001788;3500;100;;;;false;;;;;;
ALCOHOL DESNATURALIZADO 95- 500CC CON GATILLO;;10030707;2500;100;;;;false;;;;;;
ALCOHOL DESNATURALIZADO 95- ELITE 1000CC;;7800045001849;3500;100;;;;false;;;;;;
ALCOHOL DESNATURALIZADO AL 95 X 500ML ELITE;;7800045001832;2000;100;;;;false;;;;;;
ALCOHOL DESNATURALIZADO CON ITALATO DE ETILO AL 0.2 X60ML;;7891537153979;500;100;;;;false;;;;;;
ALCOHOL GEL 70 X 340 ML ELITE;50065;10030431;2500;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ALCOHOL GEL 70- X340ML;;7801000275961;3000;100;;;;false;;;;;;
ALCOHOL GEL PARA MANOS ENJUAGUE X60ML SANTEPHARMA;50066;7804647000002;1000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ALCOHOL ISOPROPILICO IPA 70- X290ML;50067;7801000000396;4000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ALCOHOL SPRAY AL 70 PARA MANOS 100 ML. FAMILY SET;50068;7805633022374;1000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ALDROX ACIDO ALENDRONICO 70 MG. X10 COMP. LAB. PASTEUR;;7800068010156;15000;100;;;;false;;;;;;
ALEJANDRIA 8G 1UNIDAD LAB. DROGERIA NUÑOA;;7805357000009;600;100;;;;false;;;;;;
ALENYS FLUTICASONA FUROATO 27.5MCG 120DOSIS LAB. ETEX;;7800030075008;18500;100;;;;false;;;;;;
ALERTEX MODAFINILO 100MG X30COMP LAB. SAVAL;;7800060414082;20000;100;;;;false;;;;;;
ALERVIT FORTE x 60CAPS VITALAB;;737186232986;5000;100;;;;false;;;;;;
ALERXO FEXOFENADINA CLORHIDRATO 120MG X30 COMP. LAB. DE CHILE;;7800007805331;14000;100;;;;false;;;;;;
ALERXO FORTE FEXOFENADINA CLORHIDRATO 180MG 30COMP LAB. TEVA;50073;7800007805324;19000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ALERXO FORTE FEXOFENADINA CLORHIDRATO 180MG TEVA;;;17000;100;;;;false;;;;;;
ALEXIA - D FEXOFRENADINA CLORHIDRATO + PSEUDOEFEDRINA SULFATO 60MG + 120MG X10CAPS LAB. SAVAL;;7800060117037;12000;100;;;;false;;;;;;
ALEXIA FEXOFENADINA 120MG X10COMP LAB. SAVAL;;7800060112315;14000;100;;;;false;;;;;;
ALEXIA FEXOFENADINA 120MG X30COMP LS B;;7800060112582;16000;100;;;;false;;;;;;
ALEXIA FORTE 180MG;;7800060118782;16000;100;;;;false;;;;;;
ALEXIA FORTE FEXOFENADINA 180MG;;7800060119321;25000;100;;;;false;;;;;;
ALFEXA 120MG COMP REC X30 -FEXOFENADINA CLORHIDRATO-;;7804650885733;12500;100;;;;false;;;;;;
ALFEXA 180 FEXOFENADINA CLORHIDRATO 180MG X30COMP. ASCEND B;50076;7804650884491;15000;100;OTROS;SIN ASIGNACION;;false;;;ANTIHISTAMINICO;;;
ALFLOREX BIFIDOBACTERIUM LONGUM 7.5G X30CAPS LAB. AXON;;5392000067417;25000;100;;;;false;;;;;;
ALGAS CON OLIVOS COMPUESTO X30ML KNOP;;2010341003620;7000;100;;;;false;;;;;;
ALGAS MARINAS CON OLIVOS MEDICAMENTO HOMEOPATICO 50 COMP. LAB. KNOP;;2010121011050;4500;100;;;;false;;;;;;
ALGINATO AG 10UND 10x10 LAB. ROKYMEDS;;6920230614058;3500;100;;;;false;;;;;;
ALGODON AMERICANO CORRIENTE 250G;;7806545010237;2500;100;;;;false;;;;;;
ALGODON AMERICANO HIDROFILO;;7806545010121;1200;100;;;;false;;;;;;
ALGODON HIDROFILO 250GRS AMERICANO;;7806545010138;2500;100;;;;false;;;;;;
ALGODON HIDROFILO 25OGRS FAM SET;;7805633013419;4000;100;;;;false;;;;;;
ALGODON HIDROFILO NAPA PR FAM SET 50GR;;7805633013433;600;100;;;;false;;;;;;
ALGODON HIDROFILO ZIG ZAG 200GR ADSORBEX;50079;7806545030198;2500;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ALGODON REDONDO MULTI USOS 80UND;;48341000808;1500;100;;;;false;;;;;;
ALGOHOL GEL NEUTRO AL 70 250ML;50080;10030448;2000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ALGON HIDROFILO 200GRS;;7805190000303;2500;100;;;;false;;;;;;
ALGON HIDROFILO EN ZIG ZAG;;7806545010329;1200;100;;;;false;;;;;;
ALL OUT  PIOJOS 50 ML. CON PEINE;50084;7800004003693;8500;100;OTROS;MEDIHEALTH DIVISION DERMATOLÓGICA;;false;;;PEDICULICIDA;;;
ALLEDRYL-D CAP X 20 -LORATADINA 5MGPSEUDOEFEDRINA120MG;;7804918410356;8500;100;;;;false;;;;;;
ALLEGRA D FEXOFENADIAN CLORHIDRATO + PSEUDOEFEDRINA CLORHIDRATO 60MG + 120MG X20COMP LAB. SANOFI;;7800056001463;27000;100;;;;false;;;;;;
ALLIUM CEPA T.M. MEDICAMENTO HOMEOPATICO X30ML LAB. KNOP;50085;2010380011075;7000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ALMIZCLE 1GR QUIMNATURA;;9876795248658;500;100;;;;false;;;;;;
ALONDRA ALICATE;;7805118052308;6000;100;;;;false;;;;;;
ALONDRA CORTA UÑAS 1 UND. LAB. ALONDRA;;7805118052100;34000;100;;;;false;;;;;;
ALONDRA CORTAUÑAS PIES 1 UND. LAB. ALONDRA;;7805118058720;2800;100;;;;false;;;;;;
ALONDRA ESPONJA PIEDRA POMEZ;;7805118024602;1500;100;;;;false;;;;;;
ALOPEK MINOX 5%;;7800059002511;26000;100;;;;false;;;;;;
ALOPEK MINOXIDIL 5% 100 GRS AEROSOL TOPICO LAB. PHARMA INVESTI;;7703281002185;29000;100;;;;false;;;;;;
ALOPURINOL 300 MG . 20 COMP. LAB. SEVEN PHARMA;50097;8902281613981;1000;100;OTROS;SEVEN PHARMA;;false;;;ANTIGOTOSO;;;
ALPRAZOLAM 0.50MG X30COMP LCH B;;7800007368386;1000;100;;;;false;;;;;;
ALTA D 4 CAPS. 50000UI COLECALCIFEROL;;7891317012007;23000;100;;;;false;;;;;;
ALTA ZINC ZINC 15MG X40COMP LAB. SAVAL;;7800060122215;15000;100;;;;false;;;;;;
ALTA ZINC ZINC 5MG X30ML LAB. SAVAL;;7800060122383;14000;100;;;;false;;;;;;
ALTA ZING 10MG;;7800060122116;15000;100;;;;false;;;;;;
ALUMBRE ENTERO X 10 GR -CAJ X 25- QUIMNATURA;;9980808884440;1000;100;;;;false;;;;;;
ALUMBRE POLVO;;9778969688546;700;100;;;;false;;;;;;
ALWAY SULTF FLUJO ABUNDANTE X8;;7590002012383;2000;100;;;;false;;;;;;
AMATO TOPIRAMATO 50MG X60COMP LAB. EUROFARMA;;7891317148942;22000;100;;;;false;;;;;;
AMBIENTADOR AIR FRESHENER HOME SWEET HOME AROMA BEBE;;7804947001693;2000;100;;;;false;;;;;;
AMBIENTADOR AIR FRESHENER HOME SWEET HOME TE VERDE X360ML;;7804947002362;2000;100;;;;false;;;;;;
AMBILAN AMOXICILINA + ACIDO CLAVULANICO 800MG + 57MG X90ML LAB. DE CHILE;;7800007782120;24000;100;;;;false;;;;;;
AMBROXOL CLORHIDRATO JARABE ADULTO 30MG5ML BP;;8903831007601;1500;100;;;;false;;;;;;
AMERICANO ALGODON HIDROFILO 100 GRS LASTRADE HNOS;;71603002142;1200;100;;;;false;;;;;;
AMERICANO ALGODON HIDROFILO 50 GRS LASTRADE HNOS;;7806545010114;500;100;;;;false;;;;;;
AMMENS COL 120ML + 75ML;50115;7804945049918;4500;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
AMMENS COLONIA 120ML;50116;75898157196267;3500;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
AMMENS COLONIA 75ML C/ESTUCHE;50117;7804945050198;2500;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
AMOBIOTIC AMOXICILINA 1G X14COMP LAB. TEVA;;7800007782397;13000;100;;;;false;;;;;;
AMOBIOTIC AMOXICILINA 1G X20 COMP. LAB. DE CHILE;;7800007782472;24000;100;;;;false;;;;;;
AMOVAL AMOXICILINA 250MG X100 ML LAB. SAVAL;;7800060111264;11500;100;;;;false;;;;;;
AMOVAL AMOXICILINA 500MG X100ML LAB. SAVAL;;7800060111349;20000;100;;;;false;;;;;;
AMOVAL AMOXICILINA 500MG X21COMP LAB. SAVAL;;7800060017245;16000;100;;;;false;;;;;;
AMOVAL DUO 1000MG/ 5ML;50118;7800060156012;21000;100;OTROS;SAVAL;;false;;;ANTIBIOTERAPIA;;;
AMOVAL DUO AMOXICILINA 1000MG X90ML LAB SAVAL;;7800060119918;19000;100;;;;false;;;;;;
AMOVAL DUO SUS.1000.50ML;;7800060120099;14000;100;;;;false;;;;;;
AMOXI 875+ ACIDO CLAVULANICO 125 20 COMP;;7804620833818;6000;100;;;;false;;;;;;
AMOXICILINA + ACIDO CLAVULANICO 875 - 125 14 COMP. LAB. OPKOBE;;7804620833535;5000;100;;;;false;;;;;;
AMOXICILINA ACIDO CLAVULANICO 500 MG. - 125 MG. 20 COMP. LAB. ASCEND;;7804650885306,75613043935614;5500;100;;;;false;;;;;;
AMOXICILINA POLVO 500MG/5ML X60ML;;7804640560640;2000;100;;;;false;;;;;;
ANACIN CLASICO ACIDO ACETILSACILILICO325MGCAFEINA15MG 32 COMPRIOMIDOS;50128;7804900000961;3500;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ANACIN CLASICO ACIDO ACETISALICLICO + CAFEINA 325MG + 15MG X8COMP LAB. GSK;;7804900000954;1500;100;;;;false;;;;;;
ANACIN MAX ACIDO ACETILSACILICICO 300MGPARACETAMOL200MGCAFEINA45MG;50130;7804900000930;1500;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ANACIN MAX ACIDO ACETILSALICILICO + PARACETAMOL + CAFEINA 300MG + 200MG + 45MG X32COMP LAB. GSK;;7804900000947;4000;100;;;;false;;;;;;
ANAGEN CASSARA MINOXIDIL LOCION CAPILAR 5% X 100ML;;7795373010062;2300;100;;;;false;;;;;;
ANALIA ACETONA USO EXTERNO X60CC DISGAL;;7804603700410;500;100;;;;false;;;;;;
ANALIA ALCOHOL 70- X60ML MAQUIPACK;;7999788887572;500;100;;;;false;;;;;;
ANALIA QUITA ESMALTE OLEOSO ROSA MOSQUETA 40CC ALIANZA LTDA;;7804603700397;500;100;;;;false;;;;;;
ANALIA VASELINA LIQUIDA 125ML DISGAL;;10008010;1500;100;;;;false;;;;;;
ANC ACEITE PEPA CALABAZA X 30 CAPS;;7805357003901;5500;100;;;;false;;;;;;
ANC FITOFEM X60 CAPS BLISTER;;7805357000863;8500;100;;;;false;;;;;;
ANC ZINC+VIT C+MAG X60 CAPS;;7805357001648;4000;100;;;;false;;;;;;
ANILINA AZUL MARINO. MONTBLAC;;7805327000039;2200;100;;;;false;;;;;;
ANILINA COLOR AMARILLO ACOLOR;50137;7798112050015;2000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ANILINA GRIS PERLA. MONTBLANC;;7805327000275;2000;100;;;;false;;;;;;
ANILINA MONTBLANC FIJADOR;;7805327001005;2000;100;;;;false;;;;;;
ANILINA MONTBLANC VERDE;;7805327000220;2000;100;;;;false;;;;;;
ANILINA MONTBLANC VICUNA;;7805327000183;2000;100;;;;false;;;;;;
ANILINA NEGRO MONTBLAC;;7805327000015;2000;100;;;;false;;;;;;
ANILINA TURQUESA MONTBLANC;;7805327000312;2000;100;;;;false;;;;;;
ANILINAS AZUL FRANCIA. MONTBLAC;;7805327000046;2000;100;;;;false;;;;;;
ANILINAS TINTES AMARILLO 1UNI MONTBLANC;;7805327000251;2000;100;;;;false;;;;;;
ANILINAS TINTES BURDEOS MONT 1UNI;;7805327000091;2000;100;;;;false;;;;;;
ANILINAS TINTES CAFE MONT 1UNI;;7805327000190;2000;100;;;;false;;;;;;
ANILINAS TINTES DECOLOR 1UNI MONTBLANC;;7805327000008;2000;100;;;;false;;;;;;
ANILINAS TINTES FUEGO 1UNI MONTBLANC;;7805327000121;2000;100;;;;false;;;;;;
ANIS ESTRELLA 4G;;7805357001914;1000;100;;;;false;;;;;;
ANOVULATORIOS LEVONORGESTREL + ETNILESTRADIOL 0.15MG + 0.03MG X21COMP LAB. ANDROMACO;;7800018188317;2000;100;;;;false;;;;;;
ANSIEDAD FLORES DE BACH 30ML;;901000100069;5000;100;;;;false;;;;;;
ANTABUS DISULFIRAMO 500 MG. 24 COMP. LAB. GARDEN;;7800023226165;32000;100;;;;false;;;;;;
ANTALIN AMITRIPTILINA CLORHIDRATO + CLORDIAZEPOXIDO. 12.5 MG. + 5 MG. 30 COMP. LAB. SAVAL;;7800060005556;17000;100;;;;false;;;;;;
ANTEOJOS OPTICOS +1.50;;7804669530365;4000;100;;;;false;;;;;;
ANTEOJOS OPTICOS +2.0;;7805633015116;4500;100;;;;false;;;;;;
ANTI PIGMENTO Y MANCHAS EUCERIN;50140;4005800365959;38000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ANTIACIDO ENO LIMON;50141;78032460;1000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ANTIAX ANTIFLATUL 6COMP SAV 480100MG;;7800060130647;1500;100;;;;false;;;;;;
ANTIGENO TES KIT SINGCLEAN UND;;6936020115070;6500;100;;;;false;;;;;;
ANTIMETIL EXTRACTO SECO DE RIZOMA DE JENGIBRE 50MG X30COMP LAB. LCH;50143;7800007808387;13000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ANTIMETIL EXTRACTO SECO DE RIZOMA DE JENGIBRE 50MG X6COMP. LABORATORIO DE CHILE;;7800007803306;3000;100;;;;false;;;;;;
ANTITRANSPIRANTE AEROSOL NIVEA EFFECT X150ML;;4005808231065;2500;100;;;;false;;;;;;
ANTITRANSPIRANTE ALTA EFICACIA 20ML PERSIREX;;5701943100387;11500;100;;;;false;;;;;;
ANTITRANSPIRANTE DOVE GO FRESH PEPINO-TE 150ML;50145;7791293048475;2500;100;OTROS;UNILEVER;ETORICOXIB 90 MG;false;;;DESODORANTES;;;
ANTITRANSPIRANTE DOVE GO FRESH PERA ALOE VERA CON VIT E;50146;7791293048505;3000;100;OTROS;UNILEVER;;false;;;DESODORANTES;;;
ANTITRANSPIRANTE DOVE INVISIBLE DRY ANTI MANCHAS X50ML;;78924529;2500;100;;;;false;;;;;;
ANTITRANSPIRANTE DOVE MEN CARE CUIDADO TOTAL X50G;;75031060;3000;100;;;;false;;;;;;
ANTITRANSPIRANTE DOVE MEN CARE ROLL-ON INVISIBLE DRY X50ML;;78933354;2500;100;;;;false;;;;;;
ANTITRANSPIRANTE DOVE MEN+CARE PROTECCION TOTAL 45 G.;;75076696;3000;100;;;;false;;;;;;
ANTITRANSPIRANTE EN CREMA EXTRA DRY REXONA;;79400301161;6600;100;;;;false;;;;;;
ANTITRANSPIRANTE ETIQUET ACTIVE PROTECTION 60G;;7794640170164;2000;100;;;;false;;;;;;
ANTITRANSPIRANTE ETIQUET MEN X 60G ROLL ON;;7794490630511;2500;100;;;;false;;;;;;
ANTITRANSPIRANTE ETIQUET WOMEN DELICIOUS X60G;;7794640172625;2000;100;;;;false;;;;;;
ANTITRANSPIRANTE ETIQUET WOMEN FLORAL SIN ALCOHOL X60G;;7794490630443;3000;100;;;;false;;;;;;
ANTITRANSPIRANTE GEL GILLETTE 5 PROTECT COOL WAVE;;7702018913664;4500;100;;;;false;;;;;;
ANTITRANSPIRANTE GILLETTE HYDRA GEL + ALOE VERA 82G;;7500435140591;4500;100;;;;false;;;;;;
ANTITRANSPIRANTE HIDRO FUGAL CLASSIC;;4005800344961;10000;100;;;;false;;;;;;
ANTITRANSPIRANTE HIDROFUGAL CLASSIC NEUTRO SPRAY 150ML;50150;4005800344985;10000;100;OTROS;BEIERSDORF;;false;;;ANTISUDORAL;;;
ANTITRANSPIRANTE KIDS PREFACE SIN ALCOHOL X75G;;7804969171534;4500;100;;;;false;;;;;;
ANTITRANSPIRANTE NIVEA MEN BLACK WHITE 50G;;4006000087030;2500;100;;;;false;;;;;;
ANTITRANSPIRANTE NIVEA PEARLBEAUTY X150ML;;4005900937520;2500;100;;;;false;;;;;;
ANTITRANSPIRANTE NIVEA SILVER MEN X54G;;4005900919540;2500;100;;;;false;;;;;;
ANTITRANSPIRANTE NIVEA STRESS PROTECT AEROSOL;;4005808715688;2500;100;;;;false;;;;;;
ANTITRANSPIRANTE OBAO DERMO EFICACIA 150ML;;7509552876345;3000;100;;;;false;;;;;;
